sgrna	symbol	pool	p.high	prob	chosen
brunello_MARCKS_1	MARCKS	list	-7.31340690531	1	1
HGLibA_31872	IRF2BPL	list	-7.30046283533	1	1
HGLibB_23682	ITGA1	list	-7.27599335541	1	1
HGLibB_22786	IGFBP2	list	-7.25265829015	1	1
brunello_DEFB1_4	DEFB1	list	-7.21672969957	1	1
HGLibB_07294	CASP12	list	-7.21358350859	1	1
brunello_ACSL1_2	ACSL1	list	-7.20857605575	1	1
brunello_SEPT3_2	42981	list	-7.20566124504	1	1
HGLibA_08305	CD244	list	-7.17499695976	1	1
brunello_TNFSF18_3	TNFSF18	list	-7.12107497497	1	1
HGLibA_55673	STAT2	list	-7.10593879314	1	1
brunello_SEMA3B_3	SEMA3B	list	-7.0781033459	1	1
brunello_FILIP1L_3	FILIP1L	list	-7.06625342881	1	1
brunello_ENPP1_3	ENPP1	list	-7.05415990996	1	1
brunello_VGLL2_4	VGLL2	list	-7.03966471914	1	1
HGLibB_44270	SLAMF9	list	-7.03632295262	1	1
HGLibB_41569	RNF213	list	-6.98643718591	1	1
brunello_FAM134B_4	FAM134B	list	-6.95794770409	1	1
brunello_PKLR_2	PKLR	list	-6.91058601919	1	1
HGLibA_20096	GIN1	list	-6.90789283554	1	1
HGLibA_55669	STAT1	list	-6.88779324282	1	1
brunello_IGF2BP3_2	IGF2BP3	list	-6.88612663774	1	1
brunello_HIST1H1D_2	HIST1H1D	list	-6.86819185206	1	1
HGLibA_55464	SSTR2	list	-6.86492247698	1	1
brunello_DNASE1L2_3	DNASE1L2	list	-6.84873037737	1	1
HGLibA_62631	WNT1	list	-6.84491629033	1	1
brunello_PARS2_2	PARS2	list	-6.83877105963	1	1
brunello_IL7R_4	IL7R	list	-6.80533219997	1	1
brunello_MLKL_1	MLKL	list	-6.78387718397	1	1
HGLibA_33561	KLK9	list	-6.78106083516	1	1
HGLibB_45415	SLCO4A1	list	-6.72296164277	1	1
brunello_WHAMM_1	WHAMM	list	-6.70684081046	1	1
brunello_DKK3_3	DKK3	list	-6.69731671768	1	1
brunello_ABCG2_4	ABCG2	list	-6.67024932787	1	1
HGLibA_33559	KLK8	list	-6.66040521241	1	1
brunello_GGT5_3	GGT5	list	-6.64875031295	1	1
brunello_PVRIG_1	PVRIG	list	-6.64769830019	1	1
brunello_IFI6_2	IFI6	list	-6.62402290143	1	1
brunello_N4BP1_1	N4BP1	list	-6.60374126061	1	1
HGLibA_30904	IFI6	list	-6.5874317207	1	1
HGLibB_26274	LEPR	list	-6.58108542998	1	1
HGLibA_60379	TTC26	list	-6.57725243523	1	1
brunello_TMEM194A_3	TMEM194A	list	-6.57651065684	1	1
brunello_IRF9_1	IRF9	list	-6.57539300519	1	1
HGLibB_30477	MUC1	list	-6.55791472809	1	1
brunello_NAMPT_3	NAMPT	list	-6.54441498166	1	1
HGLibB_04206	BBS10	list	-6.53666341923	1	1
HGLibA_59821	TRIM5	list	-6.52981509663	1	1
HGLibA_49476	RHOF	list	-6.52029829291	1	1
HGLibB_16684	FAM72A	list	-6.51932666321	1	1
brunello_MRC2_2	MRC2	list	-6.51704994849	1	1
brunello_P2RX7_4	P2RX7	list	-6.515675049	1	1
brunello_LPPR4_3	LPPR4	list	-6.50698354293	1	1
HGLibA_03424	ATCAY	list	-6.50173413851	1	1
brunello_TRIM38_3	TRIM38	list	-6.46181238526	1	1
HGLibA_39121	MYO1E	list	-6.4618032349	1	1
brunello_GRHL1_3	GRHL1	list	-6.44583595857	1	1
HGLibB_23568	IRF8	list	-6.43508431018	1	1
HGLibB_20277	GRIN2C	list	-6.43494746028	1	1
brunello_APOBEC3G_1	APOBEC3G	list	-6.41389468582	1	1
brunello_DUSP16_4	DUSP16	list	-6.41260383478	1	1
HGLibA_50187	RPL22	list	-6.36323453651	1	1
HGLibB_44992	SLC37A2	list	-6.36144577687	1	1
brunello_HLA-A_1	HLA-A	list	-6.34056709314	1	1
brunello_UGT1A6_1	UGT1A6	list	-6.32640307097	1	1
HGLibA_39115	MYO1C	list	-6.32367622921	1	1
HGLibB_14152	DUSP28	list	-6.29875820653	1	1
HGLibA_31824	IQGAP2	list	-6.29845272295	1	1
brunello_G6PC_1	G6PC	list	-6.28160281304	1	1
brunello_RHOB_4	RHOB	list	-6.27551118542	1	1
brunello_RIN2_2	RIN2	list	-6.27532185156	1	1
sgKIAA0040_8	KIAA0040	list	-6.24807629092	1	1
brunello_SPP1_1	SPP1	list	-6.2428623864	1	1
HGLibA_33560	KLK9	list	-6.23976408264	1	1
HGLibA_19908	GEM	list	-6.22411899181	1	1
HGLibA_12617	DDIT4	list	-6.22024693851	1	1
brunello_USP37_2	USP37	list	-6.19935212364	1	1
HGLibA_42980	OSM	list	-6.17335771964	1	1
brunello_ATP6V0A1_4	ATP6V0A1	list	-6.16306199058	1	1
brunello_ZNF541_4	ZNF541	list	-6.15769534019	1	1
HGLibA_35460	LRIF1	list	-6.15355663121	1	1
HGLibB_30759	MYO10	list	-6.13009588701	1	1
HGLibA_15649	EGR1	list	-6.1290448442	1	1
brunello_SUCNR1_3	SUCNR1	list	-6.12437921908	1	1
HGLibA_08144	CCR1	list	-6.12229601576	1	1
brunello_ZC3HAV1L_4	ZC3HAV1L	list	-6.12031926806	1	1
FHCRC_O_E_P_46	KIR2DL5A	list	-6.11840942198	1	1
HGLibB_46043	SNX5	list	-6.11427239655	1	1
HGLibA_21196	GRAMD1B	list	-6.11375711461	1	1
HGLibA_07785	CCDC42B	list	-6.11142166988	1	1
brunello_SKIL_4	SKIL	list	-6.10583943811	1	1
brunello_SAMSN1_4	SAMSN1	list	-6.09439635553	1	1
brunello_CCDC181_4	CCDC181	list	-6.09376249641	1	1
brunello_ZNF829_4	ZNF829	list	-6.09211994258	1	1
brunello_GTF2E1_4	GTF2E1	list	-6.07752455817	1	1
brunello_AGT_4	AGT	list	-6.07354507508	1	1
brunello_IL18_3	IL18	list	-6.07281059345	1	1
HGLibB_36832	PLA2G16	list	-6.07028805091	1	1
HGLibA_03268	ASCL2	list	-6.06936840493	1	1
brunello_HIST1H1C_1	HIST1H1C	list	-6.05915170248	1	1
HGLibA_49580	RIN2	list	-6.05535778174	1	1
brunello_TPRG1_4	TPRG1	list	-6.0530626037	1	1
HGLibA_32729	KCTD19	list	-6.04878493745	1	1
brunello_TYRO3_2	TYRO3	list	-6.03999105039	1	1
HGLibB_41231	RIMS3	list	-6.03763641807	1	1
HGLibA_58161	TMEM110	list	-6.03745834315	1	1
brunello_GIMAP7_2	GIMAP7	list	-6.02482591583	1	1
brunello_TLR1_4	TLR1	list	-5.98086298943	1	1
brunello_ATF3_1	ATF3	list	-5.97740747523	1	1
brunello_ST8SIA4_2	ST8SIA4	list	-5.97450313762	1	1
HGLibA_45601	PML	list	-5.97427216597	1	1
HGLibA_45519	PLSCR1	list	-5.97307554865	1	1
brunello_CBWD2_1	CBWD2	list	-5.97035261652	1	1
HGLibA_51836	SERPINB2	list	-5.96880837649	1	1
HGLibA_47884	PUS1	list	-5.96509411745	1	1
HGLibA_51282	SCN4B	list	-5.96452875587	1	1
HGLibA_36008	LYPD3	list	-5.96104833715	1	1
brunello_IER5L_1	IER5L	list	-5.96049437589	1	1
brunello_IQGAP2_3	IQGAP2	list	-5.95950110096	1	1
brunello_GPR68_2	GPR68	list	-5.95844556628	1	1
HGLibA_22187	HES4	list	-5.94983492325	1	1
brunello_PTPRU_3	PTPRU	list	-5.94810368557	1	1
brunello_SECTM1_1	SECTM1	list	-5.9437848606	1	1
HGLibB_00304	ABL2	list	-5.93645185266	1	1
brunello_LY6E_4	LY6E	list	-5.92486766516	1	1
brunello_ARMC9_1	ARMC9	list	-5.91910133895	1	1
brunello_ANK3_4	ANK3	list	-5.91865756037	1	1
HGLibA_40097	NFIL3	list	-5.91717888524	1	1
HGLibA_52991	SLC25A30	list	-5.91673096872	1	1
HGLibA_12295	DAGLA	list	-5.91287101357	1	1
HGLibB_28853	MEP1A	list	-5.90847930108	1	1
brunello_PLAC4_1	PLAC4	list	-5.90371237604	1	1
HGLibA_16923	FABP5	list	-5.9019045449	1	1
HGLibA_05595	C17orf96	list	-5.89343991766	1	1
HGLibA_30931	IFITM2	list	-5.89012457619	1	1
HGLibA_37053	MED18	list	-5.88885806618	1	1
HGLibA_31328	IL1B	list	-5.87619729217	1	1
HGLibB_44441	SLC18B1	list	-5.87379683825	1	1
moffat_CHI3L2_5	CHI3L2	list	-5.87336421753	1	1
brunello_PSEN2_2	PSEN2	list	-5.87013666082	1	1
HGLibB_21613	HLA-E	list	-5.86580173873	1	1
brunello_IGF2BP3_4	IGF2BP3	list	-5.86418615834	1	1
brunello_IFIT3_2	IFIT3	list	-5.85643384751	1	1
HGLibA_59130	TNIP3	list	-5.85532474849	1	1
brunello_RBM43_1	RBM43	list	-5.85382898684	1	1
HGLibA_52142	SGPP2	list	-5.85353047659	1	1
brunello_POP1_4	POP1	list	-5.85095639433	1	1
brunello_KCNJ11_2	KCNJ11	list	-5.82996992603	1	1
HGLibB_57116	NonTargetingControlGuideForHuman_0088	list	-5.82928216209	1	1
HGLibB_31175	NBN	list	-5.82841919538	1	1
brunello_CDKN2B_4	CDKN2B	list	-5.82079746776	1	1
brunello_PSMB9_2	PSMB9	list	-5.82049321941	1	1
HGLibA_51654	SEMA6B	list	-5.81926692564	1	1
moffat_IDO2_4	IDO2	list	-5.80716989357	1	1
HGLibA_31490	IL9R	list	-5.79818700242	1	1
HGLibA_46651	PRDM1	list	-5.79647610973	1	1
HGLibA_17135	FAM135B	list	-5.7922652866	1	1
brunello_EHD4_4	EHD4	list	-5.79161050965	1	1
brunello_ADAM28_1	ADAM28	list	-5.78896989116	1	1
HGLibA_19747	GBP7	list	-5.77771559751	1	1
brunello_EREG_3	EREG	list	-5.75892944135	1	1
HGLibB_01538	ALDH1A1	list	-5.75446597536	1	1
HGLibA_09515	CHORDC1	list	-5.75174727469	1	1
brunello_BCAR3_3	BCAR3	list	-5.74021393269	1	1
HGLibA_20142	GJA3	list	-5.73978962658	1	1
brunello_DDX4_4	DDX4	list	-5.73471177995	1	1
HGLibA_09079	CENPP	list	-5.727899843	1	1
HGLibA_08629	CDH1	list	-5.72370790395	1	1
HGLibB_55430	ZNF148	list	-5.72029457221	1	1
brunello_TRIM69_4	TRIM69	list	-5.71761362346	1	1
HGLibA_39905	NEFH	list	-5.71651464685	1	1
HGLibB_52972	UNC93B1	list	-5.71430512183	1	1
HGLibA_49297	RGL4	list	-5.71359192705	1	1
brunello_APOL2_2	APOL2	list	-5.70066005623	1	1
HGLibA_34649	LGALS2	list	-5.68957424303	1	1
brunello_RTP4_4	RTP4	list	-5.67400922127	1	1
brunello_C12orf60_4	C12orf60	list	-5.66008243234	1	1
HGLibA_05593	C17orf96	list	-5.65372703076	1	1
HGLibA_36997	ME1	list	-5.64756110232	1	1
brunello_SOCS6_1	SOCS6	list	-5.64709112367	1	1
brunello_TRADD_4	TRADD	list	-5.64665416833	1	1
brunello_TJP1_4	TJP1	list	-5.63909470957	1	1
HGLibB_31084	NAPA	list	-5.63568838791	1	1
HGLibA_58754	TMEM60	list	-5.6290927087	1	1
HGLibA_19520	GALM	list	-5.62461305099	1	1
brunello_GPR157_2	GPR157	list	-5.61965795733	1	1
HGLibB_07104	CAMSAP2	list	-5.61845883245	1	1
brunello_STAT2_4	STAT2	list	-5.6091012958	1	1
brunello_SLC1A3_4	SLC1A3	list	-5.60905660233	1	1
HGLibA_32404	KBTBD8	list	-5.60366413299	1	1
HGLibA_58351	TMEM173	list	-5.60303351663	1	1
brunello_KLHL31_2	KLHL31	list	-5.60286472427	1	1
brunello_RGS20_3	RGS20	list	-5.59405529355	1	1
moffat_C5orf20_3	C5orf20	list	-5.58268317094	1	1
brunello_SNX18_3	SNX18	list	-5.57904796556	1	1
brunello_CA13_4	CA13	list	-5.57358210861	1	1
brunello_ALX1_1	ALX1	list	-5.56935406903	1	1
brunello_LPL_3	LPL	list	-5.56626858635	1	1
brunello_TANK_3	TANK	list	-5.56377920634	1	1
brunello_SLC1A4_4	SLC1A4	list	-5.56359774845	1	1
brunello_CCL13_4	CCL13	list	-5.56173104423	1	1
brunello_HAPLN3_1	HAPLN3	list	-5.55617405366	1	1
HGLibB_49205	TGM5	list	-5.5500002706	1	1
brunello_B3GAT2_4	B3GAT2	list	-5.53579159552	1	1
HGLibA_59003	TNFAIP6	list	-5.53021165866	1	1
brunello_CLEC4E_2	CLEC4E	list	-5.5179527763	1	1
HGLibA_16075	EMP1	list	-5.51633214326	1	1
HGLibB_57107	NonTargetingControlGuideForHuman_0079	list	-5.51595144263	1	1
brunello_PKIB_2	PKIB	list	-5.51004336135	1	1
brunello_ERI2_1	ERI2	list	-5.50481252371	1	1
moffat_FTSJD2_1	FTSJD2	list	-5.50360837023	1	1
HGLibA_60721	TXNIP	list	-5.5004163412	1	1
brunello_SP140_1	SP140	list	-5.49741569332	1	1
HGLibA_38445	MS4A6A	list	-5.49599592256	1	1
brunello_FAM135B_1	FAM135B	list	-5.48989002073	1	1
brunello_CCR7_2	CCR7	list	-5.48862861254	1	1
brunello_COBL_1	COBL	list	-5.48581843577	1	1
brunello_TAS2R4_1	TAS2R4	list	-5.48501411649	1	1
HGLibB_14014	DSP	list	-5.48306675969	1	1
HGLibA_21414	GSDMD	list	-5.46873623052	1	1
brunello_TLR2_2	TLR2	list	-5.46735613918	1	1
brunello_AURKB_4	AURKB	list	-5.46669145594	1	1
HGLibA_57606	THBD	list	-5.46313802243	1	1
brunello_ZNF181_4	ZNF181	list	-5.45920120115	1	1
sgC22orf28_3	C22orf28	list	-5.45623819458	1	1
HGLibA_31664	INSIG1	list	-5.44851795516	1	1
brunello_ZNF620_1	ZNF620	list	-5.42341597675	1	1
brunello_FILIP1L_1	FILIP1L	list	-5.41626600046	1	1
HGLibA_44322	PELI1	list	-5.41567577091	1	1
HGLibA_33945	KRTAP16-1	list	-5.41082331325	1	1
HGLibA_34738	LHX2	list	-5.41001913689	1	1
HGLibA_64580	NonTargetingControlGuideForHuman_0197	list	-5.39380395219	1	1
brunello_BET1_2	BET1	list	-5.39027229546	1	1
HGLibA_20427	GMPR	list	-5.38987991435	1	1
brunello_ZNF844_3	ZNF844	list	-5.38615405931	1	1
HGLibA_59661	TREX1	list	-5.38564600353	1	1
HGLibA_13612	DNAJC28	list	-5.3849711098	1	1
HGLibA_10262	CNGA1	list	-5.38362563502	1	1
HGLibA_39904	NEFH	list	-5.38320932941	1	1
HGLibA_64493	NonTargetingControlGuideForHuman_0110	list	-5.36923060906	1	1
HGLibA_11268	CRYBB3	list	-5.36887976445	1	1
HGLibB_06797	CA2	list	-5.36790869642	1	1
HGLibB_11832	CXCL10	list	-5.36315743068	1	1
HGLibA_59883	TRIM69	list	-5.35953366343	1	1
HGLibB_41009	RGS13	list	-5.35879182449	1	1
brunello_MMP19_1	MMP19	list	-5.35712562345	1	1
brunello_LAMP3_1	LAMP3	list	-5.35481655988	1	1
HGLibB_35095	PAPOLG	list	-5.34299157535	1	1
HGLibA_55044	SPON1	list	-5.33021855825	1	1
HGLibA_55671	STAT2	list	-5.32968399469	1	1
brunello_ZBTB6_1	ZBTB6	list	-5.32855234254	1	1
brunello_PLAT_4	PLAT	list	-5.32136769379	1	1
brunello_ARG1_1	ARG1	list	-5.311306555	1	1
brunello_CD40_2	CD40	list	-5.3111349815	1	1
brunello_ATP10D_4	ATP10D	list	-5.30540859936	1	1
brunello_SMIM15_1	SMIM15	list	-5.29614377199	1	1
HGLibA_55258	SRGAP2	list	-5.29247326457	1	1
HGLibA_30535	HSH2D	list	-5.28699149985	1	1
brunello_SLC25A28_2	SLC25A28	list	-5.2836320001	1	1
brunello_RNASEL_3	RNASEL	list	-5.27957177748	1	1
HGLibA_42601	OR5K2	list	-5.26020808026	1	1
FHCRC_O_E_P_37	PRDM11	list	-5.25384724178	1	1
HGLibB_48851	TDRD6	list	-5.24892504974	1	1
brunello_UGT1A4_4	UGT1A4	list	-5.24677760826	1	1
brunello_MICA_4	MICA	list	-5.24597747031	1	1
HGLibA_04764	BRCA2	list	-5.24317955677	1	1
HGLibA_44612	PHC3	list	-5.2412538942	1	1
brunello_ARL5B_2	ARL5B	list	-5.23497214782	1	1
brunello_SEMA6B_2	SEMA6B	list	-5.23336934936	1	1
brunello_ICAM1_4	ICAM1	list	-5.22969240413	1	1
HGLibA_06750	C9orf64	list	-5.22602866181	1	1
HGLibA_55672	STAT2	list	-5.21566595028	1	1
brunello_ALYREF_3	ALYREF	list	-5.20712257303	1	1
HGLibA_31270	IL15RA	list	-5.20428432433	1	1
brunello_ZC3H12A_4	ZC3H12A	list	-5.19596209218	1	1
brunello_UBE2Z_3	UBE2Z	list	-5.19323414239	1	1
brunello_UGT1A4_3	UGT1A4	list	-5.19164874239	1	1
brunello_TRIB2_4	TRIB2	list	-5.18762317188	1	1
brunello_KCNE2_4	KCNE2	list	-5.18235324263	1	1
HGLibB_35958	PEAK1	list	-5.18152358238	1	1
HGLibA_15889	ELAVL4	list	-5.1767698779	1	1
HGLibA_30919	IFIT3	list	-5.17245610899	1	1
brunello_WHAMM_4	WHAMM	list	-5.17073480685	1	1
HGLibA_20683	GOSR1	list	-5.17059560859	1	1
brunello_ASCL2_4	ASCL2	list	-5.16809336098	1	1
brunello_LMTK3_2	LMTK3	list	-5.16807756673	1	1
HGLibA_36746	MB21D1	list	-5.16605718719	1	1
HGLibA_44223	PDPN	list	-5.16544000055	1	1
HGLibA_55629	STAP1	list	-5.16378405642	1	1
sgGPATCH11_1	GPATCH11	list	-5.15946569048	1	1
HGLibA_22165	HERC5	list	-5.15593198063	1	1
HGLibA_46747	PRG4	list	-5.15528665863	1	1
brunello_MARVELD2_2	MARVELD2	list	-5.1536710592	1	1
HGLibB_26666	LMO2	list	-5.15239374757	1	1
brunello_ACAP1_1	ACAP1	list	-5.14619702542	1	1
HGLibA_61262	ULK4	list	-5.14503752133	1	1
brunello_TLR3_3	TLR3	list	-5.13856192084	1	1
brunello_TGM1_3	TGM1	list	-5.13201363299	1	1
brunello_FCGR3A_2	FCGR3A	list	-5.13184550127	1	1
HGLibA_49911	RNF213	list	-5.12822171262	1	1
brunello_ZNF260_4	ZNF260	list	-5.11944676244	1	1
HGLibA_49457	RHOB	list	-5.11265630341	1	1
brunello_SLC2A5_3	SLC2A5	list	-5.11164294246	1	1
HGLibA_22622	HLA-DQA1	list	-5.1104079918	1	1
brunello_TBX1_3	TBX1	list	-5.10700003011	1	1
brunello_NFKB1_1	NFKB1	list	-5.10031948424	1	1
HGLibB_08027	CCL4L2	list	-5.09786133761	1	1
HGLibB_36441	PI3	list	-5.09422026701	1	1
brunello_NUP160_2	NUP160	list	-5.09175685725	1	1
brunello_APOL2_1	APOL2	list	-5.09167857989	1	1
brunello_ATP1B1_2	ATP1B1	list	-5.07955921186	1	1
HGLibA_10011	CLECL1	list	-5.07812896766	1	1
HGLibB_55922	ZNF436	list	-5.07747112562	1	1
brunello_EML1_3	EML1	list	-5.07432767985	1	1
HGLibA_16065	EML4	list	-5.07428175351	1	1
HGLibB_54222	WHAMM	list	-5.06835646557	1	1
HGLibB_44264	SLAMF7	list	-5.06702000319	1	1
HGLibA_12348	DAXX	list	-5.05900592628	1	1
brunello_LGALS9_2	LGALS9	list	-5.05856631471	1	1
HGLibB_15645	ETV7	list	-5.05212821404	1	1
brunello_MYC_3	MYC	list	-5.04762356734	1	1
brunello_IL1RN_4	IL1RN	list	-5.04679482078	1	1
HGLibA_16055	EML1	list	-5.04585601947	1	1
brunello_N4BP1_3	N4BP1	list	-5.04474847513	1	1
brunello_UBFD1_3	UBFD1	list	-5.03778203428	1	1
HGLibB_06471	C6orf222	list	-5.03700599425	1	1
brunello_FAM90A1_1	FAM90A1	list	-5.03641637138	1	1
brunello_IRG1_2	IRG1	list	-5.03430389651	1	1
HGLibA_20092	GIMAP8	list	-5.03173099016	1	1
brunello_ADM_4	ADM	list	-5.03025233477	1	1
brunello_MAP3K8_3	MAP3K8	list	-5.0293325019	1	1
brunello_ANKRD22_2	ANKRD22	list	-5.02282664878	1	1
brunello_NFXL1_3	NFXL1	list	-5.02122630809	1	1
brunello_TLN2_4	TLN2	list	-5.02032723742	1	1
brunello_KCTD19_3	KCTD19	list	-5.0099118807	1	1
HGLibA_46945	PROCR	list	-5.00472091567	1	1
HGLibA_55541	ST3GAL6	list	-5.00139899672	1	1
HGLibB_41117	RHOB	list	-4.99808339546	1	1
HGLibB_44780	SLC28A2	list	-4.99623714849	1	1
brunello_STARD4_3	STARD4	list	-4.99168808409	1	1
HGLibA_00493	ACOT9	list	-4.98969033954	1	1
HGLibA_22288	HIC1	list	-4.98562545474	1	1
brunello_MARCH1_1	42795	list	-4.98434004961	1	1
brunello_APOBEC3B_1	APOBEC3B	list	-4.97669754403	1	1
brunello_LRRC2_1	LRRC2	list	-4.97378694303	1	1
HGLibA_44782	PI4K2B	list	-4.96841572279	1	1
HGLibB_17175	FCGR3B	list	-4.96697531106	1	1
HGLibA_03545	ATP10A	list	-4.96608080273	1	1
HGLibA_07927	CCDC92	list	-4.96605197221	1	1
HGLibB_56135	ZNF547	list	-4.96325337748	1	1
brunello_DOCK4_2	DOCK4	list	-4.9621653206	1	1
brunello_HIST1H2AC_2	HIST1H2AC	list	-4.96130063486	1	1
brunello_CYP27A1_3	CYP27A1	list	-4.94461222741	1	1
brunello_IRF2BPL_1	IRF2BPL	list	-4.94355928497	1	1
HGLibA_19930	GEN1	list	-4.93982672592	1	1
brunello_FPR3_2	FPR3	list	-4.93919297876	1	1
HGLibB_26818	LOC100506388	list	-4.93894138729	1	1
HGLibA_64542	NonTargetingControlGuideForHuman_0159	list	-4.93848849924	1	1
HGLibB_13436	DMXL2	list	-4.93660955462	1	1
HGLibA_09080	CENPP	list	-4.93440723999	1	1
brunello_IFI6_3	IFI6	list	-4.92800366507	1	1
HGLibA_20881	GPR126	list	-4.92122091285	1	1
brunello_APOL3_3	APOL3	list	-4.92091868536	1	1
brunello_CNN1_4	CNN1	list	-4.91904419165	1	1
brunello_PKIB_4	PKIB	list	-4.91849417964	1	1
HGLibB_24621	KIAA0825	list	-4.91596318036	1	1
HGLibA_32004	ITGA1	list	-4.91007611772	1	1
brunello_HESX1_2	HESX1	list	-4.90872639559	1	1
brunello_PPFIA4_2	PPFIA4	list	-4.90632822223	1	1
HGLibA_45153	PLA1A	list	-4.90435756932	1	1
brunello_INHBA_2	INHBA	list	-4.89902881351	1	1
HGLibA_53286	SLC35E4	list	-4.89868818337	1	1
brunello_CFH_3	CFH	list	-4.89723269658	1	1
HGLibB_33718	OR2B11	list	-4.8948894478	1	1
brunello_APOBEC3A_2	APOBEC3A	list	-4.89462312885	1	1
brunello_GCLC_4	GCLC	list	-4.89214962247	1	1
brunello_C21orf91_1	C21orf91	list	-4.88859785969	1	1
HGLibA_39661	NCS1	list	-4.88554515357	1	1
brunello_LIF_1	LIF	list	-4.88247963319	1	1
HGLibB_37352	PNP	list	-4.87746067115	1	1
brunello_PYHIN1_2	PYHIN1	list	-4.87591734902	1	1
HGLibA_09985	CLEC4D	list	-4.86917912215	1	1
brunello_HLA-C_4	HLA-C	list	-4.86633707304	1	1
HGLibA_44020	PDCD4	list	-4.86557367709	1	1
HGLibA_05294	C12orf74	list	-4.86530304914	1	1
HGLibA_41101	NT5C3A	list	-4.86166757063	1	1
brunello_PSME2_3	PSME2	list	-4.85856131312	1	1
HGLibA_02839	ARHGEF26	list	-4.85819275194	1	1
brunello_ABCA6_3	ABCA6	list	-4.85629769225	1	1
HGLibA_17261	FAM170B	list	-4.84968504234	1	1
brunello_TLK2_1	TLK2	list	-4.84840854387	1	1
HGLibB_23559	IRF5	list	-4.847390959	1	1
HGLibB_05905	C1orf95	list	-4.84695396231	1	1
HGLibA_54931	SPHK1	list	-4.84512974381	1	1
brunello_LGALS3_4	LGALS3	list	-4.84480554978	1	1
HGLibA_52725	SLC16A3	list	-4.84401087458	1	1
HGLibA_08247	CD163L1	list	-4.84156685015	1	1
HGLibA_12349	DAXX	list	-4.83923703994	1	1
HGLibB_43508	SERPINB7	list	-4.83465198116	1	1
brunello_APOL6_3	APOL6	list	-4.83420025536	1	1
brunello_TRIM5_1	TRIM5	list	-4.8295379407	1	1
brunello_PROCR_2	PROCR	list	-4.82262401664	1	1
HGLibA_58753	TMEM60	list	-4.82082575177	1	1
HGLibA_55063	SPPL2A	list	-4.81903849716	1	1
