group_id	items_in_group	lo_value	p	FDR	goodsgrna
ABL2	8	2.2101e-03	1.2053e-02	0.752621	4
ZFYVE26	8	2.2388e-03	1.2156e-02	0.752621	7
C1QC	8	2.6976e-03	1.4466e-02	0.858773	7
ZNF205	8	2.7423e-03	1.4687e-02	0.858773	6
GPNMB	8	2.9591e-03	1.5820e-02	0.864306	4
DUSP5	8	2.9873e-03	1.6013e-02	0.864306	5
CCDC109B	8	3.3712e-03	1.8017e-02	0.897174	1
SNX24	8	3.4708e-03	1.8450e-02	0.897174	5
ZNF780A	8	3.5224e-03	1.8628e-02	0.897174	7
REC8	8	3.5267e-03	1.8643e-02	0.897174	7
CAPN2	8	3.6005e-03	1.8981e-02	0.897174	7
ZNF540	8	3.7625e-03	1.9790e-02	0.897174	5
TRIM22	8	3.8344e-03	2.0157e-02	0.897174	4
AIM1	8	3.8457e-03	2.0242e-02	0.897174	5
C10orf12	8	3.8890e-03	2.0458e-02	0.897174	3
ST3GAL5	8	4.1880e-03	2.1855e-02	0.936139	7
ZNF583	8	4.2734e-03	2.2236e-02	0.936139	5
FPR1	8	4.4867e-03	2.3299e-02	0.948928	6
ZNF221	8	4.6804e-03	2.4146e-02	0.948928	3
HRH1	8	4.8307e-03	2.4884e-02	0.948928	7
PARP11	8	4.8699e-03	2.5096e-02	0.948928	6
FAM46C	8	4.9238e-03	2.5373e-02	0.948928	3
PGAP1	8	5.1109e-03	2.6192e-02	0.948928	7
SQLE	8	5.1521e-03	2.6370e-02	0.948928	7
OGFR	8	5.3238e-03	2.7081e-02	0.948928	4
ERAP2	8	5.3712e-03	2.7330e-02	0.948928	4
TOR1B	8	5.4408e-03	2.7683e-02	0.948928	3
COPB2	7	5.7137e-03	2.5985e-02	0.948928	6
KRT2	8	5.8065e-03	2.9423e-02	0.948928	5
SMIM15	8	5.9577e-03	3.0124e-02	0.948928	3
ZNF701	8	5.9798e-03	3.0204e-02	0.948928	5
CHAC1	8	6.1407e-03	3.0792e-02	0.948928	4
NPR1	8	6.3198e-03	3.1427e-02	0.948928	6
CXCL11	8	6.4743e-03	3.1954e-02	0.948928	4
NPC2	8	6.7264e-03	3.2847e-02	0.948928	3
CRLF2	8	6.8324e-03	3.3224e-02	0.948928	6
ABLIM3	8	6.9129e-03	3.3543e-02	0.948928	6
TEAD1	8	6.9906e-03	3.3812e-02	0.948928	4
MB21D2	8	6.9929e-03	3.3816e-02	0.948928	4
XRN1	8	7.1028e-03	3.4169e-02	0.948928	5
NCAM1	8	7.1509e-03	3.4390e-02	0.948928	6
MS4A4A	8	7.1748e-03	3.4512e-02	0.948928	4
RASL10A	8	7.2640e-03	3.4809e-02	0.948928	6
SLC16A4	8	7.4087e-03	3.5326e-02	0.948928	6
EGR2	8	7.7083e-03	3.6422e-02	0.957157	4
YAP1	8	7.8189e-03	3.6831e-02	0.957157	6
TMEM41B	8	8.0799e-03	3.7791e-02	0.962140	6
ZNF225	8	8.2806e-03	3.8600e-02	0.962140	3
IFI30	8	8.4517e-03	3.9254e-02	0.962140	6
DHRS9	8	8.5148e-03	3.9442e-02	0.962140	5
RGAG4	8	8.5382e-03	3.9536e-02	0.962140	2
SECTM1	8	8.6025e-03	3.9771e-02	0.962140	5
MKX	8	8.7178e-03	4.0222e-02	0.962140	5
ANK3	8	8.9319e-03	4.0933e-02	0.968128	5
CLDN11	8	9.0954e-03	4.1516e-02	0.971012	3
BCAS4	8	9.3348e-03	4.2367e-02	0.974597	6
TMEM54	8	9.5688e-03	4.3162e-02	0.974597	4
NonTargetingControlGuideForHuman_0124	1	9.7715e-03	9.5412e-03	0.713031	1
PIR	8	9.8027e-03	4.3887e-02	0.974597	6
IL4I1	8	9.9543e-03	4.4432e-02	0.974597	4
NKAIN1	8	1.0046e-02	4.4804e-02	0.974597	5
S1PR3	8	1.0523e-02	4.6601e-02	0.974597	4
TRANK1	8	1.0584e-02	4.6817e-02	0.974597	3
KLK9	8	1.0598e-02	4.6916e-02	0.974597	2
CD109	8	1.0603e-02	4.6944e-02	0.974597	5
FITM1	8	1.1046e-02	4.8440e-02	0.974597	5
NDC80	8	1.1047e-02	4.8444e-02	0.974597	6
MIDN	8	1.1079e-02	4.8543e-02	0.974597	5
SPTA1	8	1.1113e-02	4.8727e-02	0.974597	2
GPR180	8	1.1220e-02	4.9103e-02	0.974597	5
ZNF366	8	1.1337e-02	4.9536e-02	0.974597	5
FAR1	8	1.1627e-02	5.0490e-02	0.974597	3
DNAAF1	8	1.1898e-02	5.1412e-02	0.974597	5
MMP13	8	1.2023e-02	5.1850e-02	0.974597	6
ZNF501	8	1.2239e-02	5.2602e-02	0.974597	4
SAMHD1	8	1.2411e-02	5.3289e-02	0.974597	6
PSMB11	8	1.2452e-02	5.3435e-02	0.974597	6
STX11	8	1.2682e-02	5.4239e-02	0.974597	5
IGSF3	8	1.2734e-02	5.4502e-02	0.974597	6
PMAIP1	8	1.3025e-02	5.5580e-02	0.974597	5
SLC16A1	8	1.3060e-02	5.5721e-02	0.974597	5
GPBAR1	8	1.3344e-02	5.6718e-02	0.974597	6
PPIF	8	1.3682e-02	5.7964e-02	0.974597	5
BRCA2	8	1.4027e-02	5.9357e-02	0.974597	6
KRTAP16-1	8	1.4113e-02	5.9653e-02	0.974597	4
JUN	8	1.4124e-02	5.9686e-02	0.974597	4
CCND1	8	1.4195e-02	5.9959e-02	0.974597	3
SGPP2	8	1.4262e-02	6.0198e-02	0.974597	3
MYOF	8	1.4432e-02	6.0754e-02	0.974597	6
ASCC3	8	1.4458e-02	6.0824e-02	0.974597	5
CD47	8	1.4572e-02	6.1186e-02	0.974597	6
AHRR	8	1.4601e-02	6.1294e-02	0.974597	5
ZBTB21	8	1.4708e-02	6.1633e-02	0.974597	5
APOF	8	1.4744e-02	6.1779e-02	0.974597	6
FAP	8	1.4788e-02	6.1944e-02	0.974597	4
JAK2	8	1.5050e-02	6.2828e-02	0.974597	6
ZFHX2	8	1.5068e-02	6.2903e-02	0.974597	3
VMP1	8	1.5210e-02	6.3275e-02	0.974597	4
WARS	8	1.5220e-02	6.3308e-02	0.974597	4
SLC43A2	8	1.5261e-02	6.3430e-02	0.974597	5
RND3	8	1.5508e-02	6.4295e-02	0.977143	5
ATP7A	8	1.5608e-02	6.4662e-02	0.977143	5
NonTargetingControlGuideForHuman_0169	1	1.5615e-02	1.5501e-02	0.864306	1
GBP2	8	1.5733e-02	6.5128e-02	0.977143	2
CBWD5	8	1.5815e-02	6.5452e-02	0.977143	5
SLC1A1	8	1.6022e-02	6.6120e-02	0.980163	5
SERPINE1	8	1.6442e-02	6.7672e-02	0.985286	5
RALGDS	8	1.6757e-02	6.8712e-02	0.985286	3
FCGR1B	8	1.7268e-02	7.0480e-02	0.985286	4
PRDM16	8	1.7423e-02	7.1003e-02	0.985286	6
TIMP1	8	1.7514e-02	7.1318e-02	0.985286	4
GLI3	8	1.7626e-02	7.1656e-02	0.985286	3
BLNK	8	1.7993e-02	7.2992e-02	0.985286	6
IL1R2	8	1.8120e-02	7.3463e-02	0.985286	5
RALA	8	1.8196e-02	7.3712e-02	0.985286	5
CXCL2	8	1.8291e-02	7.4008e-02	0.985286	2
WNT5A	8	1.8308e-02	7.4065e-02	0.985286	5
ARG2	8	1.8802e-02	7.5814e-02	0.985286	2
UBE2S	8	1.9313e-02	7.7489e-02	0.985286	5
TLR3	8	1.9413e-02	7.7832e-02	0.985286	6
NFKBIA	8	1.9433e-02	7.7884e-02	0.985286	6
ZFYVE16	8	1.9600e-02	7.8439e-02	0.985286	5
AQP9	8	2.0094e-02	8.0024e-02	0.985286	6
PDE4B	8	2.0207e-02	8.0461e-02	0.985286	3
ITPRIPL2	8	2.0334e-02	8.0875e-02	0.985286	2
TRIM68	8	2.0350e-02	8.0918e-02	0.985286	5
GRIN3A	8	2.0443e-02	8.1195e-02	0.985286	4
RBM43	8	2.0488e-02	8.1317e-02	0.985286	5
PMM2	8	2.0770e-02	8.2277e-02	0.985286	3
AKAP12	8	2.0772e-02	8.2282e-02	0.985286	6
HCN3	8	2.0918e-02	8.2705e-02	0.985286	6
IL6	8	2.1024e-02	8.3072e-02	0.985286	4
SPTBN4	8	2.1353e-02	8.4154e-02	0.985286	4
CD226	8	2.1584e-02	8.4897e-02	0.985286	4
MAFK	8	2.1633e-02	8.5109e-02	0.985286	6
C14orf119	8	2.1684e-02	8.5301e-02	0.985286	5
GPR126	8	2.1863e-02	8.5828e-02	0.985286	3
FOSL2	8	2.1876e-02	8.5861e-02	0.985286	6
CCDC39	8	2.2222e-02	8.6966e-02	0.985286	5
HIST1H1E	8	2.2372e-02	8.7394e-02	0.985286	3
TRIP6	8	2.2489e-02	8.7818e-02	0.985286	6
IDO1	8	2.2563e-02	8.8058e-02	0.985286	4
ZNF257	8	2.2639e-02	8.8269e-02	0.985286	5
PRG4	8	2.2667e-02	8.8387e-02	0.985286	5
NPIP	6	2.3059e-02	8.1586e-02	0.985286	4
CRY1	8	2.3206e-02	9.0240e-02	0.985286	3
PVRL2	8	2.3441e-02	9.1115e-02	0.985286	4
ENDOD1	8	2.3483e-02	9.1247e-02	0.985286	2
NAB2	8	2.3576e-02	9.1595e-02	0.985286	5
ITIH4	8	2.3760e-02	9.2286e-02	0.985286	5
NTNG2	8	2.3950e-02	9.2968e-02	0.985286	2
TLR1	8	2.4043e-02	9.3302e-02	0.985286	5
IL1RN	8	2.4114e-02	9.3504e-02	0.985286	5
NRN1	8	2.4169e-02	9.3693e-02	0.985286	5
TBC1D17	8	2.4171e-02	9.3702e-02	0.985286	6
ZNF229	8	2.4195e-02	9.3777e-02	0.985286	6
DNAJB4	8	2.4241e-02	9.3928e-02	0.985286	6
ARHGEF26	8	2.4382e-02	9.4309e-02	0.985286	5
GATA2	8	2.4407e-02	9.4379e-02	0.985286	2
ZNF616	8	2.4500e-02	9.4647e-02	0.985286	5
FAM3C	8	2.4512e-02	9.4680e-02	0.985286	5
ACE	8	2.4583e-02	9.4920e-02	0.985286	5
H1F0	8	2.4916e-02	9.6185e-02	0.985286	2
MAVS	8	2.5180e-02	9.6962e-02	0.985286	4
CACNA1A	8	2.5256e-02	9.7173e-02	0.985286	4
PARP15	8	2.5507e-02	9.8081e-02	0.985286	6
AHNAK2	8	2.5514e-02	9.8100e-02	0.985286	6
TRADD	8	2.5604e-02	9.8387e-02	0.985286	6
EPAS1	8	2.5660e-02	9.8612e-02	0.985286	4
DDX58	8	2.5743e-02	9.8805e-02	0.985286	5
PLIN2	8	2.5899e-02	9.9280e-02	0.985286	6
LRRC3	8	2.5931e-02	9.9389e-02	0.985286	5
JUNB	8	2.6022e-02	9.9647e-02	0.985286	6
DDX3X	8	2.6378e-02	1.0087e-01	0.985286	5
ARHGAP25	8	2.6529e-02	1.0139e-01	0.985286	4
GPR15	8	2.6799e-02	1.0230e-01	0.985286	3
APOL4	8	2.6946e-02	1.0283e-01	0.985286	3
IFIT2	8	2.6974e-02	1.0291e-01	0.985286	6
HDX	8	2.7229e-02	1.0377e-01	0.985286	6
RAPGEF5	8	2.7537e-02	1.0464e-01	0.985286	6
HSD11B1	8	2.7960e-02	1.0589e-01	0.985286	3
BIRC3	8	2.8085e-02	1.0627e-01	0.985286	5
FBXO6	8	2.8238e-02	1.0671e-01	0.985286	5
HK2	8	2.8423e-02	1.0730e-01	0.985286	5
TREM2	8	2.8466e-02	1.0746e-01	0.985286	4
TNFSF8	8	2.8690e-02	1.0821e-01	0.985286	4
CPT1B	8	2.8825e-02	1.0858e-01	0.985286	3
IL27	8	2.8849e-02	1.0867e-01	0.985286	4
SNAI1	8	2.8856e-02	1.0870e-01	0.985286	5
TRIM38	8	2.8926e-02	1.0897e-01	0.985286	4
SP100	8	2.8960e-02	1.0911e-01	0.985286	4
SLC45A2	8	2.8973e-02	1.0914e-01	0.985286	4
ZNF704	8	2.9119e-02	1.0969e-01	0.985286	5
GBP1	8	2.9232e-02	1.0999e-01	0.985286	5
RAB27A	8	2.9435e-02	1.1063e-01	0.985286	4
CCL5	8	2.9443e-02	1.1066e-01	0.985286	6
DDO	8	2.9985e-02	1.1237e-01	0.985286	3
C10orf10	8	3.0596e-02	1.1437e-01	0.985286	5
HIST2H2AA4	8	3.0636e-02	1.1450e-01	0.985286	4
ITGA11	8	3.0673e-02	1.1461e-01	0.985286	4
ZNF234	8	3.0769e-02	1.1491e-01	0.985286	5
LIPA	8	3.0996e-02	1.1558e-01	0.985286	5
AEN	8	3.1101e-02	1.1591e-01	0.985286	5
GBP3	8	3.1300e-02	1.1651e-01	0.985286	2
IFNGR1	7	3.1311e-02	1.0705e-01	0.985286	3
IL1R1	8	3.1493e-02	1.1715e-01	0.985286	5
DDX60	8	3.1721e-02	1.1794e-01	0.985286	3
IL17RB	8	3.2006e-02	1.1882e-01	0.985286	4
CHORDC1	8	3.2077e-02	1.1901e-01	0.985286	4
PDGFA	8	3.2341e-02	1.1983e-01	0.985286	6
FASLG	8	3.2380e-02	1.1995e-01	0.985286	4
CCDC113	8	3.2511e-02	1.2044e-01	0.985286	5
KAT2B	8	3.2516e-02	1.2047e-01	0.985286	6
ENPP1	8	3.2624e-02	1.2084e-01	0.985286	4
PKDCC	8	3.2835e-02	1.2159e-01	0.985286	5
SUN2	8	3.3015e-02	1.2214e-01	0.985286	2
MNDA	8	3.3343e-02	1.2320e-01	0.985286	6
C12orf74	8	3.3390e-02	1.2336e-01	0.985286	4
SKIDA1	8	3.3422e-02	1.2345e-01	0.985286	5
NFKB2	8	3.3433e-02	1.2348e-01	0.985286	4
WNT1	8	3.3519e-02	1.2376e-01	0.985286	4
NonTargetingControlGuideForHuman_0132	1	3.3859e-02	3.3948e-02	0.948928	1
IL12RB1	8	3.3870e-02	1.2482e-01	0.985286	4
KIAA1211L	8	3.3907e-02	1.2494e-01	0.985286	4
CCDC87	8	3.3943e-02	1.2506e-01	0.985286	5
HRASLS2	8	3.4064e-02	1.2550e-01	0.985286	6
TUBB1	8	3.4293e-02	1.2621e-01	0.985286	4
AKT1S1	8	3.4781e-02	1.2777e-01	0.985286	4
STX1A	8	3.4828e-02	1.2787e-01	0.985286	6
TRAFD1	8	3.4982e-02	1.2837e-01	0.985286	6
SLC2A5	8	3.5003e-02	1.2846e-01	0.985286	5
CCDC181	8	3.5031e-02	1.2853e-01	0.985286	4
MYO5C	8	3.5171e-02	1.2896e-01	0.985286	2
ANO7P1	8	3.5480e-02	1.2999e-01	0.985286	6
NonTargetingControlGuideForHuman_0021	1	3.5482e-02	3.5613e-02	0.948928	1
GAREM	8	3.5534e-02	1.3021e-01	0.985286	4
THBS1	8	3.5612e-02	1.3041e-01	0.985286	3
SLC35A2	8	3.5706e-02	1.3068e-01	0.985286	4
CLDND1	8	3.5976e-02	1.3146e-01	0.985286	5
TMEM62	8	3.6299e-02	1.3252e-01	0.985286	6
RHOF	8	3.6390e-02	1.3277e-01	0.985286	3
CLDN23	8	3.6415e-02	1.3287e-01	0.985286	5
ARRDC3	8	3.6753e-02	1.3401e-01	0.985286	4
TRIM31	8	3.6820e-02	1.3421e-01	0.985286	5
KEAP1	8	3.6898e-02	1.3441e-01	0.985286	4
IRF1	8	3.7027e-02	1.3479e-01	0.985286	5
RAB42	8	3.7043e-02	1.3483e-01	0.985286	4
PAK3	8	3.7165e-02	1.3521e-01	0.985286	5
TNK2	8	3.7288e-02	1.3562e-01	0.985286	2
ATL3	8	3.7545e-02	1.3644e-01	0.985286	5
ISG20	8	3.7627e-02	1.3662e-01	0.985286	2
IFRD1	8	3.8047e-02	1.3768e-01	0.985286	2
ALYREF	8	3.8472e-02	1.3869e-01	0.985286	5
KDR	8	3.8549e-02	1.3886e-01	0.985286	4
SCN5A	8	3.8606e-02	1.3901e-01	0.985286	4
KIR2DL4	8	3.9051e-02	1.4003e-01	0.985286	3
PTGFRN	8	3.9507e-02	1.4095e-01	0.985286	5
CD163	7	3.9779e-02	1.3034e-01	0.985286	5
NFS1	8	3.9862e-02	1.4174e-01	0.985286	5
TNIP3	8	3.9873e-02	1.4178e-01	0.985286	5
PRR16	8	4.0054e-02	1.4213e-01	0.985286	4
PLA2G4C	8	4.0555e-02	1.4323e-01	0.985286	4
SCGB2A1	8	4.0566e-02	1.4327e-01	0.985286	5
PSMB8	8	4.0603e-02	1.4335e-01	0.985286	5
CCL13	8	4.1056e-02	1.4448e-01	0.985286	1
FOSB	8	4.1320e-02	1.4520e-01	0.985286	3
SNX18	8	4.1556e-02	1.4578e-01	0.985286	1
PUS1	8	4.1594e-02	1.4584e-01	0.985286	5
KITLG	8	4.1743e-02	1.4616e-01	0.985286	4
ZNF285	8	4.1792e-02	1.4623e-01	0.985286	3
CARD16	8	4.2557e-02	1.4795e-01	0.985286	3
FABP5	8	4.3057e-02	1.4906e-01	0.985286	2
BRIP1	8	4.3142e-02	1.4923e-01	0.985286	4
SMN2	8	4.3445e-02	1.4993e-01	0.985286	5
ATF5	8	4.3699e-02	1.5057e-01	0.985286	5
KPNB1	8	4.3750e-02	1.5066e-01	0.985286	5
KPTN	8	4.3989e-02	1.5116e-01	0.985286	5
ZNF436	8	4.4015e-02	1.5120e-01	0.985286	4
MS4A6A	8	4.4056e-02	1.5132e-01	0.985286	2
ITIH2	8	4.4084e-02	1.5141e-01	0.985286	5
SLC16A3	8	4.4157e-02	1.5156e-01	0.985286	5
PMP22	8	4.4199e-02	1.5165e-01	0.985286	5
COL1A1	8	4.4504e-02	1.5245e-01	0.985376	3
EXOSC9	8	4.4555e-02	1.5260e-01	0.985376	1
GRB10	8	4.5001e-02	1.5370e-01	0.986004	5
PLSCR4	8	4.5214e-02	1.5417e-01	0.986004	5
ESR2	8	4.5299e-02	1.5436e-01	0.986004	5
SASS6	8	4.5396e-02	1.5458e-01	0.986004	5
RNF19B	8	4.6029e-02	1.5600e-01	0.989339	5
BBS10	8	4.6051e-02	1.5604e-01	0.989339	1
IL6ST	8	4.6349e-02	1.5668e-01	0.990441	4
OLFML3	8	4.6550e-02	1.5717e-01	0.990558	2
RABAC1	8	4.7359e-02	1.5905e-01	0.991029	3
ZNFX1	8	4.7469e-02	1.5929e-01	0.991029	5
XAF1	8	4.7546e-02	1.5945e-01	0.991029	4
EMP1	8	4.7614e-02	1.5959e-01	0.991029	3
FMNL2	8	4.7988e-02	1.6049e-01	0.991029	3
IL3RA	8	4.8043e-02	1.6064e-01	0.991029	2
WDR64	6	4.8500e-02	1.4500e-01	0.985286	4
SCAMP5	8	4.8541e-02	1.6174e-01	0.991029	4
HSPA1L	8	4.8601e-02	1.6186e-01	0.991029	3
HRASLS5	8	4.8759e-02	1.6232e-01	0.991029	4
ETV6	8	4.8822e-02	1.6241e-01	0.991029	4
FPR2	8	4.9038e-02	1.6287e-01	0.991029	3
RNF24	8	4.9044e-02	1.6290e-01	0.991029	4
ZNF322	8	4.9306e-02	1.6349e-01	0.991797	4
PELI1	8	4.9535e-02	1.6407e-01	0.992049	2
POLN	8	5.0002e-02	1.6505e-01	0.992049	4
42798	8	5.0032e-02	1.6512e-01	0.992049	2
LOC388813	8	5.0356e-02	1.6594e-01	0.992049	5
SLC35E4	8	5.1024e-02	1.6742e-01	0.992049	4
DCK	8	5.1148e-02	1.6773e-01	0.992049	3
GNRH1	8	5.1214e-02	1.6787e-01	0.992049	4
APOBEC3C	8	5.1520e-02	1.6861e-01	0.992049	3
ST3GAL6	8	5.1661e-02	1.6889e-01	0.992049	5
PKD2L1	8	5.1790e-02	1.6912e-01	0.992049	5
B3GALT2	8	5.1985e-02	1.6953e-01	0.992049	4
FUCA1	8	5.2434e-02	1.7050e-01	0.992049	3
UBQLNL	8	5.2440e-02	1.7051e-01	0.992049	4
CES1	8	5.2563e-02	1.7074e-01	0.992049	4
CYP4F22	8	5.2693e-02	1.7108e-01	0.992049	4
NonTargetingControlGuideForHuman_0149	1	5.2818e-02	5.3275e-02	0.974597	1
CCND2	8	5.3082e-02	1.7201e-01	0.992426	3
PDCD4	8	5.3993e-02	1.7397e-01	0.992426	4
MARVELD2	8	5.3997e-02	1.7398e-01	0.992426	4
ANKRD33B	8	5.4258e-02	1.7454e-01	0.992426	5
SIRPA	8	5.4386e-02	1.7487e-01	0.992426	3
C19orf38	8	5.4911e-02	1.7612e-01	0.992426	4
TAS2R14	8	5.4937e-02	1.7617e-01	0.992426	5
ADAR	8	5.4986e-02	1.7631e-01	0.992426	4
PDCD1LG2	8	5.5074e-02	1.7651e-01	0.992426	3
GPR84	8	5.5468e-02	1.7743e-01	0.992426	3
MLKL	8	5.5480e-02	1.7744e-01	0.992426	3
SRBD1	8	5.5622e-02	1.7776e-01	0.992426	5
FAM20A	8	5.5974e-02	1.7857e-01	0.992426	4
NonTargetingControlGuideForHuman_0152	1	5.6259e-02	5.6572e-02	0.974597	1
MEX3B	8	5.6263e-02	1.7930e-01	0.992426	5
CX3CL1	8	5.6341e-02	1.7949e-01	0.992426	4
PKP2	8	5.6468e-02	1.7977e-01	0.992426	3
PNPT1	8	5.6646e-02	1.8013e-01	0.992426	4
ANXA10	8	5.6765e-02	1.8041e-01	0.992426	5
NCS1	8	5.6962e-02	1.8080e-01	0.992426	3
SLC2A14	8	5.7220e-02	1.8142e-01	0.992426	3
LRP12	8	5.7258e-02	1.8151e-01	0.992426	5
ASCL2	8	5.7948e-02	1.8299e-01	0.997910	3
HSPA1A	8	5.8457e-02	1.8396e-01	0.998784	5
NPIP8	8	5.8825e-02	1.8486e-01	0.998784	5
PRDM11	8	5.9246e-02	1.8591e-01	0.998784	4
DPYSL3	8	5.9426e-02	1.8630e-01	0.998784	2
DPYS	8	5.9492e-02	1.8641e-01	0.998784	4
FGD2	8	5.9623e-02	1.8672e-01	0.998784	4
TRAF1	8	5.9870e-02	1.8734e-01	0.998784	4
CENPP	8	5.9918e-02	1.8742e-01	0.998784	1
TM2D2	8	6.0814e-02	1.8940e-01	0.999998	4
NonTargetingControlGuideForHuman_0138	1	6.0934e-02	6.1318e-02	0.974597	1
VAMP5	8	6.1309e-02	1.9062e-01	0.999998	4
NAIP	8	6.1393e-02	1.9082e-01	0.999998	5
ZNF618	8	6.1393e-02	1.9082e-01	0.999998	3
PXDC1	8	6.1834e-02	1.9163e-01	0.999998	5
SLC28A2	8	6.1885e-02	1.9172e-01	0.999998	3
SCIN	8	6.1911e-02	1.9177e-01	0.999998	2
IGSF1	8	6.2463e-02	1.9296e-01	0.999998	4
FAM90A1	8	6.2867e-02	1.9385e-01	0.999998	3
UNC93B1	8	6.3357e-02	1.9489e-01	0.999998	3
ZBED1	8	6.3579e-02	1.9533e-01	0.999998	4
SERINC2	8	6.4239e-02	1.9687e-01	0.999998	5
SUCNR1	8	6.4781e-02	1.9803e-01	0.999998	5
ZNF696	8	6.5074e-02	1.9863e-01	0.999998	5
PPP2R2A	8	6.5951e-02	2.0051e-01	0.999998	5
FNDC4	8	6.6206e-02	2.0103e-01	0.999998	5
BTN3A3	8	6.6785e-02	2.0232e-01	0.999998	2
IFIT1B	8	6.7274e-02	2.0335e-01	0.999998	4
PLEK2	8	6.7632e-02	2.0409e-01	0.999998	3
OLIG2	8	6.8070e-02	2.0503e-01	0.999998	5
TXNRD1	8	6.8109e-02	2.0512e-01	0.999998	4
FEZ1	8	6.8310e-02	2.0553e-01	0.999998	4
ATL1	8	6.8362e-02	2.0562e-01	0.999998	2
MYO1G	8	6.8599e-02	2.0618e-01	0.999998	3
SPP1	8	6.8739e-02	2.0654e-01	0.999998	2
PRICKLE1	8	6.8864e-02	2.0688e-01	0.999998	3
PPM1K	8	6.9227e-02	2.0784e-01	0.999998	3
S100A2	8	6.9715e-02	2.0889e-01	0.999998	1
LIPM	8	6.9929e-02	2.0945e-01	0.999998	3
IER2	8	6.9997e-02	2.0965e-01	0.999998	4
IGFBP4	8	7.0083e-02	2.0985e-01	0.999998	4
SLCO3A1	8	7.0204e-02	2.1015e-01	0.999998	5
SPTLC2	8	7.0228e-02	2.1019e-01	0.999998	2
KYNU	8	7.0644e-02	2.1114e-01	0.999998	4
ARMC9	8	7.0913e-02	2.1177e-01	0.999998	4
SOCS2	8	7.1003e-02	2.1194e-01	0.999998	3
ESR1	8	7.1633e-02	2.1345e-01	0.999998	4
ZKSCAN4	8	7.1847e-02	2.1397e-01	0.999998	5
TM4SF19	8	7.1966e-02	2.1416e-01	0.999998	3
PHC3	8	7.1994e-02	2.1423e-01	0.999998	3
PSME1	8	7.2111e-02	2.1449e-01	0.999998	4
HOMER2	8	7.2266e-02	2.1484e-01	0.999998	3
ZBTB46	8	7.2349e-02	2.1497e-01	0.999998	5
LSS	8	7.2995e-02	2.1648e-01	0.999998	5
CD40	8	7.3122e-02	2.1681e-01	0.999998	2
SLC38A5	8	7.3865e-02	2.1840e-01	0.999998	4
RAD9A	8	7.3882e-02	2.1845e-01	0.999998	5
ACOT13	8	7.4094e-02	2.1887e-01	0.999998	2
C22orf42	8	7.4160e-02	2.1902e-01	0.999998	3
PNRC1	8	7.4454e-02	2.1974e-01	0.999998	5
DCUN1D3	8	7.4923e-02	2.2061e-01	0.999998	4
ARID5A	8	7.5065e-02	2.2090e-01	0.999998	4
HSPH1	8	7.5277e-02	2.2141e-01	0.999998	5
HIST1H2BD	8	7.5633e-02	2.2227e-01	0.999998	4
TAS2R4	8	7.6035e-02	2.2318e-01	0.999998	3
SHOX2	8	7.6519e-02	2.2425e-01	0.999998	2
RGL1	8	7.6526e-02	2.2426e-01	0.999998	3
CYP27B1	8	7.6561e-02	2.2434e-01	0.999998	4
SWAP70	8	7.6951e-02	2.2510e-01	0.999998	5
KCNH4	8	7.7004e-02	2.2522e-01	0.999998	2
PAX8	8	7.7056e-02	2.2534e-01	0.999998	3
FZD5	8	7.7208e-02	2.2567e-01	0.999998	5
AKT3	8	7.8876e-02	2.2919e-01	0.999998	4
