group_id	items_in_group	lo_value	p	FDR	goodsgrna
TRIM5	8	3.0009e-03	1.6098e-02	0.920501	5
NMRAL1	8	3.0724e-03	1.6427e-02	0.920501	7
C5orf34	8	3.2846e-03	1.7561e-02	0.920501	7
COL27A1	8	3.2886e-03	1.7584e-02	0.920501	7
APOBEC3D	8	3.6038e-03	1.9000e-02	0.920501	6
C1orf74	8	3.6489e-03	1.9226e-02	0.920501	7
MED18	8	3.9933e-03	2.0938e-02	0.920501	3
PIPOX	8	4.0615e-03	2.1253e-02	0.920501	6
TRIM14	8	4.0995e-03	2.1422e-02	0.920501	7
ZNF200	8	4.1386e-03	2.1601e-02	0.920501	7
GJA3	8	4.1697e-03	2.1766e-02	0.920501	5
IGF2BP3	8	4.2449e-03	2.2109e-02	0.920501	4
OSBPL6	8	4.2869e-03	2.2278e-02	0.920501	6
C12orf60	8	4.2912e-03	2.2302e-02	0.920501	4
LGMN	8	4.4065e-03	2.2918e-02	0.927742	6
DEFB1	8	4.5591e-03	2.3581e-02	0.936578	4
CHI3L2	8	4.7029e-03	2.4282e-02	0.938604	5
GBP7	8	4.8361e-03	2.4898e-02	0.938604	5
BAG1	8	4.9238e-03	2.5373e-02	0.938604	3
UBA6	8	5.0067e-03	2.5688e-02	0.938604	5
DUSP16	8	5.0924e-03	2.6102e-02	0.938604	6
SPDYA	8	5.4408e-03	2.7683e-02	0.938604	6
C2	8	5.4452e-03	2.7702e-02	0.938604	6
TCN2	8	5.6863e-03	2.8845e-02	0.938604	7
C17orf96	8	5.9061e-03	2.9912e-02	0.938604	4
P2RX4	8	5.9579e-03	3.0190e-02	0.938604	6
TRIM69	8	6.0970e-03	3.0801e-02	0.938604	5
STARD4	8	6.3036e-03	3.1747e-02	0.938604	6
MAP3K5	8	6.3201e-03	3.1789e-02	0.938604	6
ARNTL2	8	6.3817e-03	3.2010e-02	0.938604	5
THNSL1	8	6.8171e-03	3.3633e-02	0.938604	5
IRF2BPL	8	7.0203e-03	3.4399e-02	0.938604	4
HAPLN3	8	7.1551e-03	3.4889e-02	0.938604	3
SPTA1	8	7.2515e-03	3.5265e-02	0.938604	5
EXOC3L1	8	7.5641e-03	3.6309e-02	0.938604	5
TCIRG1	8	7.8744e-03	3.7447e-02	0.938604	6
FAM135B	8	7.8780e-03	3.7466e-02	0.938604	5
RBKS	8	8.0226e-03	3.8017e-02	0.938604	5
IFIT5	8	8.0255e-03	3.8026e-02	0.938604	6
OAS2	8	8.1003e-03	3.8308e-02	0.938604	5
CLEC5A	8	8.2045e-03	3.8699e-02	0.938604	3
VASH1	8	8.2442e-03	3.8868e-02	0.938604	5
FPR3	8	8.4506e-03	3.9677e-02	0.938604	5
RASSF4	8	8.5382e-03	3.9964e-02	0.938604	6
NT5C3A	8	8.6025e-03	4.0199e-02	0.938604	4
FILIP1L	8	8.6330e-03	4.0349e-02	0.938604	4
TNK2	8	8.6819e-03	4.0514e-02	0.938604	6
UGT1A4	8	8.7378e-03	4.0712e-02	0.938604	4
FICD	8	8.8632e-03	4.1158e-02	0.938604	6
RASAL2	8	9.0537e-03	4.1784e-02	0.938604	5
IFIT3	8	9.2234e-03	4.2391e-02	0.938604	6
NEFH	8	9.2967e-03	4.2635e-02	0.938604	4
KRT1	8	9.3481e-03	4.2824e-02	0.938604	5
ADPRM	8	9.4651e-03	4.3252e-02	0.938604	5
KCNJ2	8	9.6180e-03	4.3713e-02	0.938657	6
SLAMF7	8	9.8590e-03	4.4446e-02	0.938657	5
AK4	8	1.0084e-02	4.5382e-02	0.938657	4
KIR2DS5	8	1.0147e-02	4.5664e-02	0.938657	6
MTF1	8	1.0301e-02	4.6201e-02	0.938657	6
DDX60	8	1.0598e-02	4.7325e-02	0.938657	4
C18orf54	8	1.0676e-02	4.7579e-02	0.938657	6
CLEC4D	8	1.0768e-02	4.7946e-02	0.938657	4
AKAP7	8	1.0830e-02	4.8096e-02	0.938657	4
FAM186B	8	1.0903e-02	4.8364e-02	0.938657	6
SEMA6B	8	1.1220e-02	4.9507e-02	0.938657	5
LOR	8	1.1299e-02	4.9785e-02	0.938657	5
FOXC1	8	1.1568e-02	5.0674e-02	0.938657	5
ZC3H12A	8	1.1625e-02	5.0890e-02	0.938657	6
IFI35	8	1.1901e-02	5.1817e-02	0.938657	6
SOCS6	8	1.2060e-02	5.2400e-02	0.938657	5
LARP4	8	1.2141e-02	5.2654e-02	0.938657	5
SEC14L3	8	1.2244e-02	5.3026e-02	0.938657	6
POP1	8	1.2244e-02	5.3026e-02	0.938657	6
BBS10	8	1.2257e-02	5.3115e-02	0.938657	6
ASCL2	8	1.2314e-02	5.3289e-02	0.938657	3
C1orf95	8	1.2844e-02	5.5264e-02	0.938657	4
AMOTL2	8	1.3069e-02	5.6158e-02	0.938657	6
NonTargetingControlGuideForHuman_0088	1	1.3083e-02	1.2909e-02	0.920501	1
RRH	8	1.3169e-02	5.6492e-02	0.938657	6
RNF213	8	1.3380e-02	5.7221e-02	0.938657	4
CCNG1	8	1.3682e-02	5.8341e-02	0.938657	3
LYSMD2	8	1.3703e-02	5.8411e-02	0.938657	6
SGIP1	8	1.4084e-02	5.9940e-02	0.938657	6
APOL2	8	1.4113e-02	6.0020e-02	0.938657	4
GCLC	8	1.4177e-02	6.0255e-02	0.938657	6
GPR68	8	1.4334e-02	6.0843e-02	0.938657	4
MAMLD1	8	1.4610e-02	6.1680e-02	0.938657	5
TOR3A	8	1.4708e-02	6.1981e-02	0.938657	3
MINPP1	8	1.4881e-02	6.2630e-02	0.938657	5
EML1	8	1.5092e-02	6.3303e-02	0.938657	3
N4BP1	8	1.5169e-02	6.3496e-02	0.938657	4
LIPA	8	1.5220e-02	6.3651e-02	0.938657	1
DYSF	8	1.5295e-02	6.3886e-02	0.938657	6
UPB1	8	1.5467e-02	6.4474e-02	0.938657	6
UBE2Z	8	1.5560e-02	6.4817e-02	0.938657	6
BST2	8	1.5733e-02	6.5462e-02	0.938657	3
FOSL1	8	1.5972e-02	6.6308e-02	0.938657	5
ALDH1B1	8	1.6016e-02	6.6431e-02	0.938657	5
MARCKS	8	1.6281e-02	6.7357e-02	0.938657	4
TNFSF18	8	1.6364e-02	6.7687e-02	0.938657	4
SIX4	8	1.6532e-02	6.8307e-02	0.938657	6
NonTargetingControlGuideForHuman_0079	1	1.6913e-02	1.7001e-02	0.920501	1
MOAP1	8	1.7402e-02	7.1238e-02	0.938657	6
ZNF132	8	1.7661e-02	7.2103e-02	0.938657	4
FFAR3	8	1.7975e-02	7.3209e-02	0.938657	6
GIMAP2	8	1.8082e-02	7.3627e-02	0.938657	5
PKIB	8	1.8453e-02	7.4850e-02	0.938657	4
NonTargetingControlGuideForHuman_0197	1	1.8472e-02	1.8525e-02	0.920501	1
ITGA1	8	1.8621e-02	7.5452e-02	0.938657	4
TPRA1	8	1.8632e-02	7.5490e-02	0.938657	4
RGS22	8	1.8802e-02	7.6115e-02	0.938657	3
SYNJ1	8	1.8944e-02	7.6595e-02	0.938657	6
NonTargetingControlGuideForHuman_0110	1	1.8991e-02	1.9165e-02	0.920501	1
NAB2	8	1.9313e-02	7.7766e-02	0.938657	2
NKD1	8	1.9354e-02	7.7926e-02	0.938657	6
NKX3-1	8	1.9772e-02	7.9318e-02	0.938657	6
MT1X	8	2.0162e-02	8.0527e-02	0.938657	3
GART	8	2.0334e-02	8.1139e-02	0.938657	4
EGR2	8	2.1353e-02	8.4389e-02	0.938657	3
PHF15	8	2.1510e-02	8.4873e-02	0.938657	6
PROCR	8	2.1658e-02	8.5438e-02	0.938657	3
PPP2R5C	8	2.1746e-02	8.5701e-02	0.938657	6
TMEM60	8	2.1748e-02	8.5706e-02	0.938657	3
HIST2H2AA3	8	2.1863e-02	8.6059e-02	0.938657	3
FASLG	8	2.2001e-02	8.6477e-02	0.938657	3
ZNF620	8	2.2199e-02	8.7140e-02	0.938657	4
ACSL1	8	2.2326e-02	8.7451e-02	0.938657	5
ADAMTS6	8	2.2372e-02	8.7616e-02	0.938657	5
LRIF1	8	2.2381e-02	8.7630e-02	0.938657	3
NEXN	8	2.2555e-02	8.8241e-02	0.938657	6
ST3GAL4	8	2.2600e-02	8.8373e-02	0.938657	6
MS4A6A	8	2.2654e-02	8.8561e-02	0.938657	5
HIST2H2BF	8	2.2881e-02	8.9238e-02	0.938657	1
COL8A1	8	2.3008e-02	8.9699e-02	0.938657	6
GGT5	8	2.3113e-02	9.0085e-02	0.938657	5
PPARG	8	2.3301e-02	9.0805e-02	0.938657	5
KIAA0040	8	2.3318e-02	9.0885e-02	0.938657	6
PSME2	8	2.3391e-02	9.1200e-02	0.938657	6
ANKEF1	8	2.3409e-02	9.1242e-02	0.938657	6
MOB3C	8	2.3462e-02	9.1369e-02	0.938657	5
42982	7	2.3618e-02	8.6741e-02	0.938657	3
APOL4	8	2.3868e-02	9.2888e-02	0.938657	5
GJA4	8	2.3899e-02	9.2992e-02	0.938657	3
CLECL1	8	2.3950e-02	9.3175e-02	0.938657	2
CNN1	8	2.4055e-02	9.3556e-02	0.938657	6
EPB41L3	8	2.4128e-02	9.3749e-02	0.938657	5
TFRC	8	2.4182e-02	9.3942e-02	0.938657	5
LDHAL6B	8	2.4407e-02	9.4582e-02	0.938657	4
TMEM255A	8	2.4556e-02	9.5042e-02	0.938657	6
IGF2BP2	8	2.4734e-02	9.5663e-02	0.938657	3
S100A8	8	2.4894e-02	9.6298e-02	0.938657	5
CTTNBP2NL	8	2.4916e-02	9.6369e-02	0.938657	2
RTP4	8	2.5180e-02	9.7145e-02	0.938657	5
C4orf32	8	2.5221e-02	9.7281e-02	0.938657	5
CXCL9	8	2.5424e-02	9.7968e-02	0.938657	4
FZD2	8	2.5651e-02	9.8758e-02	0.938657	4
KIR2DL5A	8	2.5797e-02	9.9191e-02	0.938657	6
PLEKHA4	8	2.5931e-02	9.9558e-02	0.938657	3
IFITM2	8	2.5942e-02	9.9595e-02	0.938657	4
CYP26A1	8	2.5973e-02	9.9704e-02	0.938657	6
GCNT1	8	2.5997e-02	9.9765e-02	0.938657	6
CHRNB2	8	2.6345e-02	1.0096e-01	0.938657	6
ABCB1	8	2.6439e-02	1.0122e-01	0.938657	6
NonTargetingControlGuideForHuman_0159	1	2.6652e-02	2.6789e-02	0.938604	1
IFITM1	8	2.6905e-02	1.0282e-01	0.938657	4
INSIG1	8	2.6927e-02	1.0291e-01	0.938657	4
ZC3HAV1L	8	2.7124e-02	1.0347e-01	0.938657	5
ERLIN1	8	2.7203e-02	1.0385e-01	0.938657	6
ZNF547	8	2.7383e-02	1.0436e-01	0.938657	6
PTPRU	8	2.7486e-02	1.0461e-01	0.938657	6
RADIL	8	2.7520e-02	1.0472e-01	0.938657	2
PSEN2	8	2.7544e-02	1.0480e-01	0.938657	4
TRANK1	8	2.7614e-02	1.0503e-01	0.938657	5
SOCS1	8	2.8024e-02	1.0622e-01	0.938657	5
NABP1	8	2.8083e-02	1.0640e-01	0.938657	6
CH25H	8	2.8267e-02	1.0691e-01	0.938657	6
GAREM	8	2.8849e-02	1.0879e-01	0.938657	3
IGFBP2	8	2.8973e-02	1.0926e-01	0.938657	5
IFI44	8	2.9362e-02	1.1053e-01	0.938657	6
KLHL34	8	2.9390e-02	1.1061e-01	0.938657	5
TMEM110	8	2.9571e-02	1.1122e-01	0.938657	3
PREX2	8	2.9752e-02	1.1181e-01	0.938657	5
CASP1	8	2.9951e-02	1.1238e-01	0.938657	4
CASP12	8	2.9985e-02	1.1248e-01	0.938657	3
SDC2	8	3.0219e-02	1.1328e-01	0.938657	5
BLZF1	8	3.0321e-02	1.1358e-01	0.938657	6
CXCL3	8	3.0572e-02	1.1436e-01	0.938657	6
KIAA0825	8	3.0769e-02	1.1501e-01	0.938657	5
GIMAP4	8	3.0839e-02	1.1524e-01	0.938657	5
TRPA1	8	3.0852e-02	1.1528e-01	0.938657	6
42981	8	3.0996e-02	1.1569e-01	0.938657	6
NonTargetingControlGuideForHuman_0107	1	3.1327e-02	3.1479e-02	0.938604	1
UGDH	8	3.1393e-02	1.1691e-01	0.938657	5
CD244	8	3.1501e-02	1.1730e-01	0.938657	5
BUB1	8	3.1505e-02	1.1731e-01	0.938657	5
GCA	8	3.1618e-02	1.1770e-01	0.938657	6
ATCAY	8	3.1625e-02	1.1772e-01	0.938657	5
CDH1	8	3.2160e-02	1.1940e-01	0.938657	6
IRF5	8	3.2250e-02	1.1969e-01	0.938657	6
OR52K2	8	3.2253e-02	1.1970e-01	0.938657	6
NonTargetingControlGuideForHuman_0194	1	3.2366e-02	3.2527e-02	0.938604	1
PLA2G4A	8	3.2428e-02	1.2018e-01	0.938657	6
ELF1	8	3.2487e-02	1.2044e-01	0.938657	6
RIMS3	8	3.2516e-02	1.2056e-01	0.938657	6
TLK2	8	3.2600e-02	1.2086e-01	0.938657	5
TFPI	8	3.2853e-02	1.2174e-01	0.938657	4
NFXL1	8	3.2868e-02	1.2179e-01	0.938657	6
SEMA3B	8	3.3015e-02	1.2223e-01	0.938657	3
SPPL2A	8	3.3212e-02	1.2291e-01	0.938657	3
MAB21L2	8	3.3224e-02	1.2293e-01	0.938657	6
SLC41A2	8	3.3347e-02	1.2329e-01	0.938657	4
KCTD21	8	3.3432e-02	1.2355e-01	0.938657	6
FABP5	8	3.3569e-02	1.2398e-01	0.938657	4
TYRO3	8	3.3809e-02	1.2472e-01	0.938657	5
ETV7	8	3.3853e-02	1.2485e-01	0.938657	6
CCDC181	8	3.3990e-02	1.2527e-01	0.938657	4
ENPP1	8	3.4023e-02	1.2541e-01	0.938657	2
LPL	8	3.4403e-02	1.2666e-01	0.938657	4
VGLL2	8	3.4527e-02	1.2701e-01	0.938657	3
TIMD4	8	3.4932e-02	1.2827e-01	0.938657	5
SLAMF9	8	3.5031e-02	1.2858e-01	0.938657	5
NonTargetingControlGuideForHuman_0172	1	3.5093e-02	3.5194e-02	0.938604	1
RAB39A	8	3.5769e-02	1.3089e-01	0.938657	5
NonTargetingControlGuideForHuman_0010	1	3.5937e-02	3.6036e-02	0.938604	1
TRIB2	8	3.6014e-02	1.3165e-01	0.938657	6
FAM134B	8	3.6037e-02	1.3172e-01	0.938657	4
SRRM3	6	3.6286e-02	1.2008e-01	0.938657	4
APOBEC3B	8	3.6389e-02	1.3278e-01	0.938657	4
PKLR	8	3.6540e-02	1.3334e-01	0.938657	4
PELI1	8	3.6614e-02	1.3355e-01	0.938657	4
NOTCH3	8	3.6618e-02	1.3356e-01	0.938657	6
ABTB2	8	3.6635e-02	1.3363e-01	0.938657	5
STAT4	8	3.7025e-02	1.3480e-01	0.938657	3
GIN1	8	3.7043e-02	1.3485e-01	0.938657	5
OR2B11	8	3.7257e-02	1.3553e-01	0.938657	5
C1QTNF1	8	3.7881e-02	1.3758e-01	0.938657	6
P2RY1	8	3.7968e-02	1.3785e-01	0.938657	3
HLA-C	8	3.8091e-02	1.3818e-01	0.938657	5
IL6ST	8	3.8309e-02	1.3884e-01	0.938657	3
NonTargetingControlGuideForHuman_0046	1	3.8469e-02	3.8731e-02	0.938604	1
HIST1H1D	8	3.8549e-02	1.3952e-01	0.938657	5
SLC39A8	8	3.8653e-02	1.3984e-01	0.938657	5
SLC25A19	8	3.8693e-02	1.3993e-01	0.938657	3
ZNF189	8	3.8817e-02	1.4033e-01	0.938657	5
APOBEC3A	7	3.8973e-02	1.2880e-01	0.938657	3
DYNLT1	8	3.9009e-02	1.4091e-01	0.938657	6
C5orf20	8	3.9019e-02	1.4094e-01	0.938657	4
MIA3	8	3.9043e-02	1.4101e-01	0.938657	6
SSTR2	8	3.9051e-02	1.4102e-01	0.938657	4
ASPA	8	3.9143e-02	1.4124e-01	0.938657	6
HSH2D	8	3.9226e-02	1.4150e-01	0.938657	4
DNASE1L2	8	3.9553e-02	1.4228e-01	0.938657	3
TLN2	8	3.9609e-02	1.4239e-01	0.938657	5
RTN2	8	3.9745e-02	1.4280e-01	0.938657	5
SLC25A53	8	3.9873e-02	1.4322e-01	0.938657	4
WNT1	8	4.0054e-02	1.4363e-01	0.938657	4
C6orf222	8	4.0268e-02	1.4426e-01	0.938657	3
PARS2	8	4.0555e-02	1.4496e-01	0.938657	3
RNASEL	8	4.0737e-02	1.4537e-01	0.938657	3
ZNF844	8	4.0851e-02	1.4567e-01	0.938657	4
IL7R	8	4.1056e-02	1.4621e-01	0.938657	3
LACC1	8	4.1206e-02	1.4663e-01	0.938657	3
MLKL	8	4.1556e-02	1.4749e-01	0.938657	3
FAM72A	8	4.1910e-02	1.4820e-01	0.938657	3
SERPINB7	8	4.1949e-02	1.4828e-01	0.938657	4
SLCO4A1	8	4.2557e-02	1.4963e-01	0.938657	4
EHD4	8	4.2990e-02	1.5060e-01	0.938657	4
TNFRSF12A	8	4.3192e-02	1.5101e-01	0.938657	5
DKK3	8	4.3556e-02	1.5188e-01	0.938657	4
ABCG2	8	4.4056e-02	1.5297e-01	0.938657	4
SAMD9L	8	4.4108e-02	1.5310e-01	0.938657	4
KLK8	8	4.4555e-02	1.5425e-01	0.938657	4
MICA	8	4.4665e-02	1.5450e-01	0.938657	4
METTL18	8	4.4831e-02	1.5487e-01	0.938657	5
STRIP2	8	4.5274e-02	1.5593e-01	0.938657	3
PVRIG	8	4.5553e-02	1.5662e-01	0.938657	2
ALDH1A1	8	4.5608e-02	1.5673e-01	0.938657	4
C7orf63	8	4.5920e-02	1.5738e-01	0.938657	5
TPRG1	8	4.6131e-02	1.5787e-01	0.938657	3
CETN3	8	4.6421e-02	1.5854e-01	0.938657	3
PAPOLG	8	4.6608e-02	1.5891e-01	0.938657	5
SLC28A2	8	4.6768e-02	1.5929e-01	0.938657	4
HIST1H1E	8	4.6925e-02	1.5966e-01	0.938657	3
NSUN7	8	4.6986e-02	1.5981e-01	0.938657	5
PKDCC	8	4.7366e-02	1.6069e-01	0.938657	3
LEPR	8	4.7546e-02	1.6107e-01	0.938657	5
LPPR4	8	4.8000e-02	1.6213e-01	0.938657	5
TTC26	8	4.8043e-02	1.6224e-01	0.938657	3
CA13	8	4.8487e-02	1.6323e-01	0.938657	4
TMEM194A	8	4.8541e-02	1.6332e-01	0.938657	3
GBP3	8	4.9192e-02	1.6482e-01	0.938657	4
MUC1	8	4.9535e-02	1.6564e-01	0.938657	2
KBTBD8	8	4.9875e-02	1.6631e-01	0.938657	4
NonTargetingControlGuideForHuman_0016	1	4.9896e-02	5.0537e-02	0.938657	1
SPINK1	8	4.9967e-02	1.6652e-01	0.938657	5
NAMPT	8	5.0032e-02	1.6669e-01	0.938657	3
MEP1A	8	5.0440e-02	1.6764e-01	0.938657	5
MS4A12	8	5.0535e-02	1.6787e-01	0.938657	3
KDR	8	5.0637e-02	1.6810e-01	0.938657	3
ZNF772	8	5.1517e-02	1.7015e-01	0.938657	3
RHOF	8	5.1520e-02	1.7016e-01	0.938657	4
ZNF107	8	5.1871e-02	1.7084e-01	0.938657	4
ZNF260	8	5.2176e-02	1.7144e-01	0.938657	3
TANK	8	5.2434e-02	1.7203e-01	0.938657	4
MRC2	8	5.2512e-02	1.7218e-01	0.938657	2
TNF	8	5.2538e-02	1.7221e-01	0.938657	5
P2RX7	8	5.3007e-02	1.7338e-01	0.938657	2
SPHK1	8	5.3212e-02	1.7380e-01	0.938657	4
CORIN	8	5.3250e-02	1.7385e-01	0.938657	5
NonTargetingControlGuideForHuman_0044	1	5.3272e-02	5.3642e-02	0.938657	1
OSM	8	5.3299e-02	1.7396e-01	0.938657	4
MTHFD1L	8	5.3530e-02	1.7446e-01	0.938657	4
IER3	8	5.3863e-02	1.7516e-01	0.938657	2
CDK17	8	5.3872e-02	1.7518e-01	0.938657	5
IL15	8	5.3968e-02	1.7538e-01	0.938657	5
TRIM38	8	5.4492e-02	1.7662e-01	0.938657	3
TBX1	8	5.4780e-02	1.7732e-01	0.938657	5
CYP19A1	8	5.4888e-02	1.7753e-01	0.938657	5
STX17	8	5.4911e-02	1.7757e-01	0.938657	4
MYO1E	8	5.4986e-02	1.7776e-01	0.938657	5
MAFF	8	5.5104e-02	1.7803e-01	0.938657	4
GRHL1	8	5.5480e-02	1.7888e-01	0.938657	3
RFPL4A	8	5.5720e-02	1.7940e-01	0.938657	5
IRF8	8	5.5974e-02	1.7999e-01	0.938657	4
PHC3	8	5.6365e-02	1.8095e-01	0.938657	4
GRIN2C	8	5.6468e-02	1.8117e-01	0.938657	4
PTPRD	8	5.6560e-02	1.8134e-01	0.938657	5
DCDC2B	8	5.6631e-02	1.8148e-01	0.938657	4
DDX4	8	5.6706e-02	1.8165e-01	0.938657	4
INHBA	8	5.6958e-02	1.8218e-01	0.938657	5
APOBEC3G	8	5.6962e-02	1.8219e-01	0.938657	3
RPL22	8	5.7058e-02	1.8243e-01	0.938657	5
NonTargetingControlGuideForHuman_0105	1	5.7103e-02	5.7456e-02	0.938657	1
MTHFD2L	8	5.7298e-02	1.8299e-01	0.938657	4
TOR1AIP2	8	5.7366e-02	1.8315e-01	0.938657	4
SGPP2	8	5.7461e-02	1.8337e-01	0.938657	5
ZNF28	8	5.7912e-02	1.8428e-01	0.938657	5
AGT	8	5.8825e-02	1.8620e-01	0.938657	5
HLA-A	8	5.8934e-02	1.8650e-01	0.938657	5
ZNF572	8	5.9001e-02	1.8666e-01	0.938657	3
SLC18B1	8	5.9008e-02	1.8668e-01	0.938657	4
UGT1A6	8	5.9426e-02	1.8763e-01	0.938657	3
SLC2A3	8	5.9499e-02	1.8776e-01	0.938657	4
MYO1C	8	5.9918e-02	1.8873e-01	0.938657	2
RGS13	8	6.0397e-02	1.8973e-01	0.938657	3
DUSP28	8	6.0410e-02	1.8978e-01	0.938657	1
CCR1	7	6.0843e-02	1.8401e-01	0.938657	4
G6PC	8	6.1393e-02	1.9211e-01	0.938657	5
GPR161	8	6.1413e-02	1.9215e-01	0.938657	5
FAM129A	8	6.3155e-02	1.9574e-01	0.938657	3
TNFSF14	8	6.3270e-02	1.9598e-01	0.938657	5
SPP1	8	6.3357e-02	1.9613e-01	0.938657	4
FAM90A1	8	6.3989e-02	1.9753e-01	0.938657	2
MB21D1	8	6.4167e-02	1.9791e-01	0.938657	4
GEM	8	6.4338e-02	1.9825e-01	0.938657	3
CR1L	8	6.4547e-02	1.9872e-01	0.938657	3
ZNF816	8	6.4687e-02	1.9903e-01	0.938657	4
DDIT4	8	6.4828e-02	1.9935e-01	0.938657	2
ATP6V0D2	8	6.5247e-02	2.0026e-01	0.938657	4
USP37	8	6.5317e-02	2.0044e-01	0.938657	3
OLFML3	8	6.5388e-02	2.0057e-01	0.938657	3
ALDH1L2	8	6.5546e-02	2.0091e-01	0.938657	5
PDCD1LG2	8	6.5923e-02	2.0166e-01	0.938657	4
ATP6V0A1	8	6.6296e-02	2.0243e-01	0.938657	2
C1orf173	8	6.6324e-02	2.0251e-01	0.938657	3
ALYREF	8	6.6515e-02	2.0285e-01	0.938657	2
FCGR2A	8	6.6585e-02	2.0301e-01	0.938657	5
ZNF541	8	6.6785e-02	2.0350e-01	0.938657	2
FAM84B	8	6.7020e-02	2.0402e-01	0.938657	3
KIR3DL1	8	6.7044e-02	2.0407e-01	0.938657	5
LGALS2	8	6.7429e-02	2.0481e-01	0.938657	5
ACAP1	8	6.7650e-02	2.0530e-01	0.938657	4
MYO10	8	6.7763e-02	2.0556e-01	0.938657	2
ZKSCAN7	8	6.7842e-02	2.0575e-01	0.938657	4
RGS20	8	6.8070e-02	2.0620e-01	0.938657	4
EXT1	8	6.8246e-02	2.0660e-01	0.938657	3
EGR1	8	6.8251e-02	2.0661e-01	0.938657	3
SUCNR1	8	6.8739e-02	2.0769e-01	0.938657	1
CETP	8	6.8791e-02	2.0785e-01	0.938657	2
NonTargetingControlGuideForHuman_0142	1	6.8920e-02	6.9305e-02	0.938657	1
CDKN2B	8	6.9746e-02	2.1010e-01	0.938657	5
CCDC89	8	7.0018e-02	2.1083e-01	0.938657	4
42798	8	7.0089e-02	2.1098e-01	0.938657	5
B3GALT2	8	7.0375e-02	2.1167e-01	0.938657	3
SNX5	8	7.0690e-02	2.1235e-01	0.938657	4
RSPH9	8	7.0722e-02	2.1247e-01	0.938657	5
OSBPL5	8	7.0780e-02	2.1261e-01	0.938657	5
SCN4B	8	7.0805e-02	2.1268e-01	0.938657	3
LPAR6	8	7.1011e-02	2.1308e-01	0.938657	5
GRAMD1B	8	7.1177e-02	2.1347e-01	0.938657	3
UNC93B1	8	7.1364e-02	2.1396e-01	0.938657	4
CNGA1	8	7.1385e-02	2.1403e-01	0.938657	4
CEACAM3	8	7.1633e-02	2.1456e-01	0.938657	4
CCDC42B	8	7.1663e-02	2.1463e-01	0.938657	2
NKD2	8	7.1820e-02	2.1499e-01	0.938657	4
TMEM140	8	7.1824e-02	2.1499e-01	0.938657	5
CBY3	8	7.2054e-02	2.1544e-01	0.938657	5
SKIL	8	7.2150e-02	2.1565e-01	0.938657	2
SAMSN1	8	7.2636e-02	2.1666e-01	0.938657	3
NonTargetingControlGuideForHuman_0190	1	7.3010e-02	7.3528e-02	0.938657	1
LCN12	8	7.3279e-02	2.1821e-01	0.938657	2
FNDC7	8	7.3290e-02	2.1824e-01	0.938657	5
HEY1	8	7.3449e-02	2.1860e-01	0.938657	4
ZNF829	8	7.3608e-02	2.1899e-01	0.938657	4
LYPLA1	8	7.3704e-02	2.1918e-01	0.938657	5
GTF2E1	8	7.4094e-02	2.1992e-01	0.938657	5
NUDCD1	8	7.4307e-02	2.2041e-01	0.938657	4
CD84	8	7.4776e-02	2.2138e-01	0.938657	5
NFKB1	8	7.4896e-02	2.2160e-01	0.938657	4
IL18	8	7.5065e-02	2.2194e-01	0.938657	3
