id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
IGF2BP3	8	0.44992	0.6871	0.999998	1361	2	0.05812	0.0042449	0.022109	0.920501	45	4	0.05812
OSBPL6	8	0.37248	0.6307	0.999998	1229	1	0.26922	0.0042869	0.022278	0.920501	46	6	0.26922
C12orf60	8	0.39177	0.6447	0.999998	1256	2	0.16502	0.0042912	0.022302	0.920501	47	4	0.16502
LGMN	8	0.27604	0.52571	0.999998	1015	1	0.27698	0.0044065	0.022918	0.927742	48	6	0.27698
DEFB1	8	0.4426	0.6819	0.999998	1348	2	0.10097	0.0045591	0.023581	0.936578	49	4	0.10097
CHI3L2	8	0.79677	0.89286	0.999998	1830	1	0.32087	0.0047029	0.024282	0.938604	50	5	0.32087
GBP7	8	0.68516	0.84222	0.999998	1698	2	0.35827	0.0048361	0.024898	0.938604	51	5	0.35827
BAG1	8	0.13088	0.33464	0.999998	658	4	-0.065456	0.0049238	0.025373	0.938604	52	3	-0.065456
UBA6	8	0.10047	0.27474	0.999998	535	2	0.30437	0.0050067	0.025688	0.938604	53	5	0.30437
DUSP16	8	0.93946	0.95367	0.999998	1997	1	0.29145	0.0050924	0.026102	0.938604	54	6	0.29145
SPDYA	8	0.63292	0.8198	0.999998	1634	2	0.28793	0.0054408	0.027683	0.938604	55	6	0.28793
C2	8	0.9695	0.97052	0.999998	2035	1	0.30218	0.0054452	0.027702	0.938604	56	6	0.30218
TCN2	8	0.86714	0.93165	0.999998	1929	1	0.2071	0.0056863	0.028845	0.938604	57	7	0.2071
C17orf96	8	0.27133	0.52021	0.999998	1006	2	0.071574	0.0059061	0.029912	0.938604	58	4	0.071574
P2RX4	8	0.82298	0.90649	0.999998	1870	1	0.27761	0.0059579	0.03019	0.938604	59	6	0.27761
TRIM69	8	0.29466	0.54808	0.999998	1059	3	0.23685	0.006097	0.030801	0.938604	60	5	0.23685
STARD4	8	0.8394	0.91572	0.999998	1888	1	0.39283	0.0063036	0.031747	0.938604	61	6	0.39283
MAP3K5	8	0.92636	0.94836	0.999998	1984	1	0.25094	0.0063201	0.031789	0.938604	62	6	0.25094
ARNTL2	8	0.49063	0.71698	0.999998	1426	2	0.29651	0.0063817	0.03201	0.938604	63	5	0.29651
THNSL1	8	0.4452	0.68373	0.999998	1351	1	0.29063	0.0068171	0.033633	0.938604	64	5	0.29063
IRF2BPL	8	0.85916	0.92688	0.999998	1917	2	0.25468	0.0070203	0.034399	0.938604	65	4	0.25468
HAPLN3	8	0.55852	0.76584	0.999998	1527	3	0.045194	0.0071551	0.034889	0.938604	66	3	0.045194
SPTA1	8	0.011113	0.048727	0.974597	100	2	0.28097	0.0072515	0.035265	0.938604	67	5	0.28097
EXOC3L1	8	0.33915	0.59963	0.999998	1171	3	0.32636	0.0075641	0.036309	0.938604	68	5	0.32636
TCIRG1	8	0.91477	0.94432	0.999998	1968	1	0.26976	0.0078744	0.037447	0.938604	69	6	0.26976
FAM135B	8	0.17448	0.39856	0.999998	775	2	0.11204	0.007878	0.037466	0.938604	70	5	0.11204
RBKS	8	0.094769	0.26281	0.999998	517	1	0.17753	0.0080226	0.038017	0.938604	71	5	0.17753
IFIT5	8	0.84354	0.91806	0.999998	1898	2	0.27127	0.0080255	0.038026	0.938604	72	6	0.27127
OAS2	8	0.46563	0.69869	0.999998	1382	2	0.22613	0.0081003	0.038308	0.938604	73	5	0.22613
CLEC5A	8	0.24581	0.48854	0.999998	947	4	-0.095465	0.0082045	0.038699	0.938604	74	3	-0.095465
VASH1	8	0.33527	0.59511	0.999998	1167	2	0.2261	0.0082442	0.038868	0.938604	75	5	0.2261
FPR3	8	0.85283	0.92321	0.999998	1908	1	0.25613	0.0084506	0.039677	0.938604	76	5	0.25613
RASSF4	8	0.42631	0.66969	0.999998	1319	2	0.23704	0.0085382	0.039964	0.938604	77	6	0.23704
NT5C3A	8	0.68036	0.84031	0.999998	1692	2	0.13526	0.0086025	0.040199	0.938604	78	4	0.13526
FILIP1L	8	0.1066	0.28706	0.999998	564	3	0.14888	0.008633	0.040349	0.938604	79	4	0.14888
TNK2	8	0.037288	0.13562	0.985286	280	2	0.24617	0.0086819	0.040514	0.938604	80	6	0.24617
UGT1A4	8	0.97551	0.97563	0.999998	2045	1	0.074613	0.0087378	0.040712	0.938604	81	4	0.074613
FICD	8	0.97264	0.97301	0.999998	2042	1	0.23519	0.0088632	0.041158	0.938604	82	6	0.23519
RASAL2	8	0.99657	0.99653	0.999998	2094	0	0.30662	0.0090537	0.041784	0.938604	83	5	0.30662
IFIT3	8	0.79142	0.89024	0.999998	1822	1	0.32342	0.0092234	0.042391	0.938604	84	6	0.32342
NEFH	8	0.35061	0.61291	0.999998	1192	3	0.21396	0.0092967	0.042635	0.938604	85	4	0.21396
KRT1	8	0.3307	0.58985	0.999998	1155	3	0.2902	0.0093481	0.042824	0.938604	86	5	0.2902
ADPRM	8	0.17145	0.39442	0.999998	769	2	0.33096	0.0094651	0.043252	0.938604	87	5	0.33096
KCNJ2	8	0.83322	0.9122	0.999998	1882	1	0.19794	0.009618	0.043713	0.938657	88	6	0.19794
SLAMF7	8	0.48746	0.71463	0.999998	1421	1	0.21469	0.009859	0.044446	0.938657	89	5	0.21469
AK4	8	0.61685	0.80832	0.999998	1609	1	0.090742	0.010084	0.045382	0.938657	90	4	0.090742
KIR2DS5	8	0.9897	0.9897	0.999998	2071	0	0.32439	0.010147	0.045664	0.938657	91	6	0.32439
MTF1	8	0.98596	0.98586	0.999998	2063	0	0.33214	0.010301	0.046201	0.938657	92	6	0.33214
DDX60	8	0.031721	0.11794	0.985286	238	3	0.14103	0.010598	0.047325	0.938657	93	4	0.14103
C18orf54	8	0.29347	0.54671	0.999998	1056	2	0.18009	0.010676	0.047579	0.938657	94	6	0.18009
CLEC4D	8	0.29806	0.55204	0.999998	1067	2	0.06408	0.010768	0.047946	0.938657	95	4	0.06408
AKAP7	8	0.83235	0.91171	0.999998	1879	2	0.096846	0.01083	0.048096	0.938657	96	4	0.096846
FAM186B	8	0.26461	0.51187	0.999998	990	1	0.29081	0.010903	0.048364	0.938657	97	6	0.29081
SEMA6B	8	0.72481	0.85882	0.999998	1740	2	0.18699	0.01122	0.049507	0.938657	98	5	0.18699
LOR	8	0.97052	0.97126	0.999998	2040	1	0.27212	0.011299	0.049785	0.938657	99	5	0.27212
FOXC1	8	0.14432	0.35822	0.999998	699	3	0.21815	0.011568	0.050674	0.938657	100	5	0.21815
ZC3H12A	8	0.77939	0.88414	0.999998	1809	2	0.39256	0.011625	0.05089	0.938657	101	6	0.39256
IFI35	8	0.8934	0.93831	0.999998	1950	1	0.27867	0.011901	0.051817	0.938657	102	6	0.27867
SOCS6	8	0.66511	0.83386	0.999998	1668	1	0.23689	0.01206	0.0524	0.938657	103	5	0.23689
LARP4	8	0.77409	0.8816	0.999998	1799	1	0.25812	0.012141	0.052654	0.938657	104	5	0.25812
SEC14L3	8	0.70223	0.84907	0.999998	1721	2	0.35232	0.012244	0.053026	0.938657	105	6	0.35232
POP1	8	0.32351	0.58137	0.999998	1133	2	0.26709	0.012244	0.053026	0.938657	106	6	0.26709
BBS10	8	0.046051	0.15604	0.989339	321	1	0.21666	0.012257	0.053115	0.938657	107	6	0.21666
ASCL2	8	0.057948	0.18299	0.99791	376	3	0.0081407	0.012314	0.053289	0.938657	108	3	0.0081407
C1orf95	8	0.87643	0.93414	0.999998	1937	1	0.17031	0.012844	0.055264	0.938657	109	4	0.17031
AMOTL2	8	0.997	0.99698	0.999998	2095	0	0.23885	0.013069	0.056158	0.938657	110	6	0.23885
NonTargetingControlGuideForHuman_0088	1	0.98692	0.98718	0.999998	2065	0	0.49074	0.013083	0.012909	0.920501	111	1	0.49074
RRH	8	0.92912	0.94939	0.999998	1987	1	0.24703	0.013169	0.056492	0.938657	112	6	0.24703
RNF213	8	0.19521	0.42536	0.999998	827	3	0.18972	0.01338	0.057221	0.938657	113	4	0.18972
CCNG1	8	0.62984	0.81777	0.999998	1626	2	-0.019775	0.013682	0.058341	0.938657	114	3	-0.019775
LYSMD2	8	0.9745	0.97459	0.999998	2044	1	0.23614	0.013703	0.058411	0.938657	115	6	0.23614
SGIP1	8	0.51459	0.73405	0.999998	1455	1	0.3656	0.014084	0.05994	0.938657	116	6	0.3656
APOL2	8	0.31596	0.57266	0.999998	1117	4	0.01389	0.014113	0.06002	0.938657	117	4	0.01389
GCLC	8	0.26738	0.51515	0.999998	994	1	0.21216	0.014177	0.060255	0.938657	118	6	0.21216
GPR68	8	0.61948	0.81027	0.999998	1614	3	0.22377	0.014334	0.060843	0.938657	119	4	0.22377
MAMLD1	8	0.25422	0.4992	0.999998	963	2	0.22091	0.01461	0.06168	0.938657	120	5	0.22091
TOR3A	8	0.39116	0.64424	0.999998	1254	3	-0.015494	0.014708	0.061981	0.938657	121	3	-0.015494
MINPP1	8	0.86526	0.93057	0.999998	1925	2	0.27149	0.014881	0.06263	0.938657	122	5	0.27149
EML1	8	0.36457	0.625	0.999998	1220	3	-0.043444	0.015092	0.063303	0.938657	123	3	-0.043444
N4BP1	8	0.97581	0.97587	0.999998	2047	1	0.11105	0.015169	0.063496	0.938657	124	4	0.11105
LIPA	8	0.030996	0.11558	0.985286	233	5	-0.10654	0.01522	0.063651	0.938657	125	1	-0.10654
DYSF	8	0.90957	0.94265	0.999998	1964	1	0.2312	0.015295	0.063886	0.938657	126	6	0.2312
UPB1	8	0.92508	0.94787	0.999998	1983	1	0.25602	0.015467	0.064474	0.938657	127	6	0.25602
UBE2Z	8	0.69407	0.84589	0.999998	1711	1	0.29062	0.01556	0.064817	0.938657	128	6	0.29062
BST2	8	0.28422	0.53558	0.999998	1030	2	0.01501	0.015733	0.065462	0.938657	129	3	0.01501
FOSL1	8	0.27118	0.51999	0.999998	1005	3	0.2323	0.015972	0.066308	0.938657	130	5	0.2323
ALDH1B1	8	0.4701	0.70182	0.999998	1392	3	0.19928	0.016016	0.066431	0.938657	131	5	0.19928
MARCKS	8	0.72576	0.85929	0.999998	1743	2	0.24327	0.016281	0.067357	0.938657	132	4	0.24327
TNFSF18	8	0.37455	0.6322	0.999998	1231	2	0.2008	0.016364	0.067687	0.938657	133	4	0.2008
SIX4	8	0.58645	0.78588	0.999998	1566	1	0.25542	0.016532	0.068307	0.938657	134	6	0.25542
NonTargetingControlGuideForHuman_0079	1	0.98309	0.98339	0.999998	2059	0	0.45198	0.016913	0.017001	0.920501	135	1	0.45198
MOAP1	8	0.9229	0.94709	0.999998	1981	1	0.26909	0.017402	0.071238	0.938657	136	6	0.26909
ZNF132	8	0.31467	0.57118	0.999998	1112	3	0.17469	0.017661	0.072103	0.938657	137	4	0.17469
FFAR3	8	0.88794	0.93685	0.999998	1947	1	0.35893	0.017975	0.073209	0.938657	138	6	0.35893
GIMAP2	8	0.95304	0.95997	0.999998	2010	1	0.1766	0.018082	0.073627	0.938657	139	5	0.1766
PKIB	8	0.35603	0.61861	0.999998	1206	3	0.032163	0.018453	0.07485	0.938657	140	4	0.032163
NonTargetingControlGuideForHuman_0197	1	0.98153	0.98163	0.999998	2057	0	0.51671	0.018472	0.018525	0.920501	141	1	0.51671
ITGA1	8	0.65358	0.82924	0.999998	1655	2	0.0727	0.018621	0.075452	0.938657	142	4	0.0727
TPRA1	8	0.12664	0.3265	0.999998	641	4	0.059688	0.018632	0.07549	0.938657	143	4	0.059688
RGS22	8	0.32227	0.57994	0.999998	1131	3	0.012539	0.018802	0.076115	0.938657	144	3	0.012539
SYNJ1	8	0.89743	0.93931	0.999998	1954	1	0.22082	0.018944	0.076595	0.938657	145	6	0.22082
NonTargetingControlGuideForHuman_0110	1	0.98101	0.98104	0.999998	2055	0	0.41419	0.018991	0.019165	0.920501	146	1	0.41419
NAB2	8	0.023576	0.091595	0.985286	180	5	-0.12505	0.019313	0.077766	0.938657	147	2	-0.12505
NKD1	8	0.73848	0.865	0.999998	1756	2	0.18959	0.019354	0.077926	0.938657	148	6	0.18959
NKX3-1	8	0.98663	0.9865	0.999998	2064	0	0.20523	0.019772	0.079318	0.938657	149	6	0.20523
MT1X	8	0.549	0.75863	0.999998	1508	3	0.015203	0.020162	0.080527	0.938657	150	3	0.015203
GART	8	0.32729	0.58583	0.999998	1141	3	0.15258	0.020334	0.081139	0.938657	151	4	0.15258
EGR2	8	0.0077083	0.036422	0.957157	76	4	-0.1028	0.021353	0.084389	0.938657	152	3	-0.1028
PHF15	8	0.9219	0.94673	0.999998	1978	1	0.19959	0.02151	0.084873	0.938657	153	6	0.19959
PROCR	8	0.77282	0.88096	0.999998	1798	2	-0.05348	0.021658	0.085438	0.938657	154	3	-0.05348
PPP2R5C	8	0.81719	0.90341	0.999998	1864	1	0.24265	0.021746	0.085701	0.938657	155	6	0.24265
TMEM60	8	0.68531	0.84227	0.999998	1700	2	0.065605	0.021748	0.085706	0.938657	156	3	0.065605
HIST2H2AA3	8	0.33578	0.59578	0.999998	1169	4	-0.020012	0.021863	0.086059	0.938657	157	3	-0.020012
FASLG	8	0.03238	0.11995	0.985286	242	4	-0.15858	0.022001	0.086477	0.938657	158	3	-0.15858
ZNF620	8	0.58097	0.78174	0.999998	1555	3	0.10534	0.022199	0.08714	0.938657	159	4	0.10534
ACSL1	8	0.3336	0.59312	0.999998	1160	2	0.27114	0.022326	0.087451	0.938657	160	5	0.27114
ADAMTS6	8	0.8713	0.93306	0.999998	1934	1	0.14526	0.022372	0.087616	0.938657	161	5	0.14526
LRIF1	8	0.77857	0.88372	0.999998	1807	2	-0.0074595	0.022381	0.08763	0.938657	162	3	-0.0074595
NEXN	8	0.83687	0.91429	0.999998	1886	1	0.19305	0.022555	0.088241	0.938657	163	6	0.19305
ST3GAL4	8	0.35358	0.61629	0.999998	1198	1	0.18813	0.0226	0.088373	0.938657	164	6	0.18813
MS4A6A	8	0.044056	0.15132	0.985286	310	2	0.18958	0.022654	0.088561	0.938657	165	5	0.18958
HIST2H2BF	8	0.3486	0.61051	0.999998	1186	3	-0.13882	0.022881	0.089238	0.938657	166	1	-0.13882
COL8A1	8	0.30753	0.56251	0.999998	1094	1	0.34794	0.023008	0.089699	0.938657	167	6	0.34794
GGT5	8	0.52193	0.73923	0.999998	1468	3	0.11887	0.023113	0.090085	0.938657	168	5	0.11887
PPARG	8	0.80598	0.89745	0.999998	1848	1	0.23169	0.023301	0.090805	0.938657	169	5	0.23169
KIAA0040	8	0.89601	0.93888	0.999998	1952	1	0.22327	0.023318	0.090885	0.938657	170	6	0.22327
PSME2	8	0.48425	0.71209	0.999998	1414	2	0.14048	0.023391	0.0912	0.938657	171	6	0.14048
ANKEF1	8	0.56159	0.76793	0.999998	1532	1	0.20465	0.023409	0.091242	0.938657	172	6	0.20465
MOB3C	8	0.92268	0.94701	0.999998	1980	1	0.25516	0.023462	0.091369	0.938657	173	5	0.25516
42982	7	0.091771	0.24765	0.999998	504	4	-0.20039	0.023618	0.086741	0.938657	174	3	-0.20039
APOL4	8	0.026946	0.10283	0.985286	208	3	0.20702	0.023868	0.092888	0.938657	175	5	0.20702
GJA4	8	0.6761	0.83849	0.999998	1688	2	0.066163	0.023899	0.092992	0.938657	176	3	0.066163
CLECL1	8	0.13993	0.35149	0.999998	687	2	0.057323	0.02395	0.093175	0.938657	177	2	0.057323
CNN1	8	0.17656	0.40119	0.999998	779	2	0.14872	0.024055	0.093556	0.938657	178	6	0.14872
EPB41L3	8	0.58429	0.78427	0.999998	1563	2	0.23233	0.024128	0.093749	0.938657	179	5	0.23233
TFRC	8	0.43505	0.67622	0.999998	1335	2	0.27278	0.024182	0.093942	0.938657	180	5	0.27278
LDHAL6B	8	0.34816	0.60998	0.999998	1184	4	-0.0010285	0.024407	0.094582	0.938657	181	4	-0.0010285
TMEM255A	8	0.99355	0.99361	0.999998	2083	0	0.2065	0.024556	0.095042	0.938657	182	6	0.2065
IGF2BP2	8	0.079671	0.2308	0.999998	454	4	-0.10703	0.024734	0.095663	0.938657	183	3	-0.10703
S100A8	8	0.81495	0.90214	0.999998	1861	1	0.31346	0.024894	0.096298	0.938657	184	5	0.31346
CTTNBP2NL	8	0.21311	0.4477	0.999998	868	4	-0.075857	0.024916	0.096369	0.938657	185	2	-0.075857
RTP4	8	0.25662	0.50225	0.999998	970	2	0.29334	0.02518	0.097145	0.938657	186	5	0.29334
C4orf32	8	0.85713	0.92571	0.999998	1913	2	0.26053	0.025221	0.097281	0.938657	187	5	0.26053
CXCL9	8	0.10094	0.27577	0.999998	538	2	0.074856	0.025424	0.097968	0.938657	188	4	0.074856
FZD2	8	0.26341	0.51046	0.999998	987	2	0.12749	0.025651	0.098758	0.938657	189	4	0.12749
KIR2DL5A	8	0.80123	0.89508	0.999998	1838	1	0.19705	0.025797	0.099191	0.938657	190	6	0.19705
PLEKHA4	8	0.16288	0.38283	0.999998	748	2	0.083438	0.025931	0.099558	0.938657	191	3	0.083438
IFITM2	8	0.85273	0.92316	0.999998	1907	1	0.18467	0.025942	0.099595	0.938657	192	4	0.18467
CYP26A1	8	0.42727	0.67042	0.999998	1321	1	0.20737	0.025973	0.099704	0.938657	193	6	0.20737
GCNT1	8	0.9081	0.94215	0.999998	1962	1	0.18864	0.025997	0.099765	0.938657	194	6	0.18864
CHRNB2	8	0.38955	0.64317	0.999998	1250	2	0.16726	0.026345	0.10096	0.938657	195	6	0.16726
ABCB1	8	0.74138	0.8664	0.999998	1761	2	0.16216	0.026439	0.10122	0.938657	196	6	0.16216
NonTargetingControlGuideForHuman_0159	1	0.97335	0.97353	0.999998	2043	0	0.45248	0.026652	0.026789	0.938604	197	1	0.45248
IFITM1	8	0.086164	0.245	0.999998	489	2	0.21414	0.026905	0.10282	0.938657	198	4	0.21414
INSIG1	8	0.56048	0.76717	0.999998	1528	2	0.07846	0.026927	0.10291	0.938657	199	4	0.07846
ZC3HAV1L	8	0.97953	0.97952	0.999998	2052	0	0.19768	0.027124	0.10347	0.938657	200	5	0.19768
ERLIN1	8	0.11597	0.30576	0.999998	602	2	0.20628	0.027203	0.10385	0.938657	201	6	0.20628
ZNF547	8	0.61211	0.80475	0.999998	1603	1	0.14063	0.027383	0.10436	0.938657	202	6	0.14063
PTPRU	8	0.28538	0.53696	0.999998	1035	2	0.1917	0.027486	0.10461	0.938657	203	6	0.1917
RADIL	8	0.31838	0.57534	0.999998	1125	4	-0.053383	0.02752	0.10472	0.938657	204	2	-0.053383
PSEN2	8	0.98989	0.98989	0.999998	2072	0	0.16249	0.027544	0.1048	0.938657	205	4	0.16249
TRANK1	8	0.010584	0.046817	0.974597	94	3	0.2403	0.027614	0.10503	0.938657	206	5	0.2403
SOCS1	8	0.57307	0.77607	0.999998	1544	2	0.2164	0.028024	0.10622	0.938657	207	5	0.2164
NABP1	8	0.58114	0.78183	0.999998	1556	2	0.12754	0.028083	0.1064	0.938657	208	6	0.12754
CH25H	8	0.84949	0.92135	0.999998	1903	1	0.18793	0.028267	0.10691	0.938657	209	6	0.18793
GAREM	8	0.035534	0.13021	0.985286	267	4	-0.061889	0.028849	0.10879	0.938657	210	3	-0.061889
IGFBP2	8	0.84159	0.91693	0.999998	1890	1	0.16648	0.028973	0.10926	0.938657	211	5	0.16648
IFI44	8	0.20249	0.43479	0.999998	843	2	0.12107	0.029362	0.11053	0.938657	212	6	0.12107
KLHL34	8	0.95549	0.96136	0.999998	2014	1	0.21563	0.02939	0.11061	0.938657	213	5	0.21563
TMEM110	8	0.17945	0.40495	0.999998	784	3	0.042498	0.029571	0.11122	0.938657	214	3	0.042498
PREX2	8	0.26262	0.5094	0.999998	986	2	0.20955	0.029752	0.11181	0.938657	215	5	0.20955
CASP1	8	0.32389	0.58189	0.999998	1134	3	0.16704	0.029951	0.11238	0.938657	216	4	0.16704
CASP12	8	0.28452	0.53596	0.999998	1032	3	0.048795	0.029985	0.11248	0.938657	217	3	0.048795
SDC2	8	0.72319	0.85807	0.999998	1739	2	0.22569	0.030219	0.11328	0.938657	218	5	0.22569
BLZF1	8	0.48155	0.71019	0.999998	1412	2	0.24188	0.030321	0.11358	0.938657	219	6	0.24188
CXCL3	8	0.73978	0.86566	0.999998	1760	2	0.23395	0.030572	0.11436	0.938657	220	6	0.23395
KIAA0825	8	0.96121	0.96477	0.999998	2022	1	0.2248	0.030769	0.11501	0.938657	221	5	0.2248
GIMAP4	8	0.76518	0.87728	0.999998	1792	2	0.2376	0.030839	0.11524	0.938657	222	5	0.2376
TRPA1	8	0.79586	0.89247	0.999998	1826	1	0.17267	0.030852	0.11528	0.938657	223	6	0.17267
42981	8	0.8703	0.93286	0.999998	1932	1	0.16362	0.030996	0.11569	0.938657	224	6	0.16362
NonTargetingControlGuideForHuman_0107	1	0.96867	0.96899	0.999998	2033	0	0.43358	0.031327	0.031479	0.938604	225	1	0.43358
UGDH	8	0.99361	0.99368	0.999998	2084	0	0.2038	0.031393	0.11691	0.938657	226	5	0.2038
CD244	8	0.46517	0.69837	0.999998	1381	3	0.14534	0.031501	0.1173	0.938657	227	5	0.14534
BUB1	8	0.86648	0.93129	0.999998	1927	2	0.12845	0.031505	0.11731	0.938657	228	5	0.12845
GCA	8	0.99631	0.99628	0.999998	2093	0	0.16229	0.031618	0.1177	0.938657	229	6	0.16229
ATCAY	8	0.62964	0.81764	0.999998	1625	3	0.18336	0.031625	0.11772	0.938657	230	5	0.18336
CDH1	8	0.97927	0.97929	0.999998	2051	0	0.27079	0.03216	0.1194	0.938657	231	6	0.27079
IRF5	8	0.63195	0.81912	0.999998	1633	2	0.16685	0.03225	0.11969	0.938657	232	6	0.16685
OR52K2	8	0.65437	0.8296	0.999998	1658	2	0.15204	0.032253	0.1197	0.938657	233	6	0.15204
NonTargetingControlGuideForHuman_0194	1	0.96763	0.96806	0.999998	2031	0	0.35312	0.032366	0.032527	0.938604	234	1	0.35312
PLA2G4A	8	0.99394	0.99399	0.999998	2085	0	0.15705	0.032428	0.12018	0.938657	235	6	0.15705
ELF1	8	0.99796	0.99793	0.999998	2097	0	0.2182	0.032487	0.12044	0.938657	236	6	0.2182
RIMS3	8	0.64862	0.82723	0.999998	1651	1	0.17279	0.032516	0.12056	0.938657	237	6	0.17279
TLK2	8	0.39759	0.64909	0.999998	1268	3	0.26348	0.0326	0.12086	0.938657	238	5	0.26348
