sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
HGLibB_50966	TOR3A	3647.3	6775.2	3647.3	6775.2	0.89328	4.8922e+06	1.5504e+05	7.9442	1	9.7724e-16	1.9545e-15	1.0042e-12	True
HGLibA_34887	LIPA	146.01	657.24	146.01	657.24	2.1627	1.3068e+05	4191.6	7.8964	1	1.453e-15	2.906e-15	1.445e-12	True
brunello_BST2_3	BST2	681.7	1882.5	681.7	1882.5	1.4641	7.2092e+05	23603	7.8158	1	2.7317e-15	5.4634e-15	2.6316e-12	True
brunello_STAT1_2	STAT1	3327.6	6233.6	3327.6	6233.6	0.90538	4.2225e+06	1.3987e+05	7.7704	1	3.9129e-15	7.8258e-15	3.6554e-12	True
HGLibA_63240	ZC3H12A	3992.5	7207.3	3992.5	7207.3	0.852	5.1674e+06	1.7161e+05	7.7604	1	4.233e-15	8.4661e-15	3.8381e-12	True
brunello_LY6E_1	LY6E	2044.1	4246.7	2044.1	4246.7	1.0545	2.4257e+06	80940	7.742	1	4.8943e-15	9.7885e-15	4.3109e-12	True
brunello_GJA3_3	GJA3	1313.1	3020.5	1313.1	3020.5	1.2012	1.4576e+06	49253	7.6933	1	7.1715e-15	1.4343e-14	6.1412e-12	True
brunello_IFIT5_3	IFIT5	1371.3	3117.8	1371.3	3117.8	1.1844	1.5252e+06	51710	7.6805	1	7.9231e-15	1.5846e-14	6.6014e-12	True
HGLibA_49376	RGS22	1560.7	3432.3	1560.7	3432.3	1.1364	1.7513e+06	59791	7.6538	1	9.7527e-15	1.9505e-14	7.912e-12	True
brunello_NAB2_1	NAB2	1313.1	3010.3	1313.1	3010.3	1.1963	1.4403e+06	49253	7.6476	1	1.0241e-14	2.0483e-14	8.0954e-12	True
HGLibB_57043	NonTargetingControlGuideForHuman_0015	15671	22489	15671	22489	0.52108	2.3242e+07	7.9685e+05	7.6377	1	1.1054e-14	2.2108e-14	8.5193e-12	True
brunello_GART_3	GART	1859.6	3917.1	1859.6	3917.1	1.0743	2.1165e+06	72787	7.626	1	1.2105e-14	2.421e-14	9.1019e-12	True
brunello_KCTD19_1	KCTD19	4034	7197.2	4034	7197.2	0.83507	5.0029e+06	1.7361e+05	7.5918	1	1.5778e-14	3.1557e-14	1.1581e-11	True
HGLibA_15650	EGR2	1350.6	3060	1350.6	3060	1.1794	1.4611e+06	50834	7.5819	1	1.7031e-14	3.4062e-14	1.221e-11	True
brunello_COMMD3_3	COMMD3	4469	1125.8	4469	1125.8	-1.988	5.5885e+06	1.9476e+05	7.5755	1.7889e-14	1	3.5779e-14	1.2534e-11	False
brunello_HIST2H2AA3_2	HIST2H2AA3	2722.9	5244.7	2722.9	5244.7	0.94549	3.1799e+06	1.1167e+05	7.5467	1	2.232e-14	4.464e-14	1.5291e-11	True
HGLibA_00835	ADAMTS6	2007.6	4129	2007.6	4129	1.04	2.2502e+06	79319	7.5325	1	2.4886e-14	4.9772e-14	1.6678e-11	True
HGLibA_22536	HIST2H2BF	6287.2	10308	6287.2	10308	0.71316	8.0829e+06	2.8573e+05	7.5218	1	2.7013e-14	5.4025e-14	1.7718e-11	True
brunello_IFNAR1_1	IFNAR1	2260.2	4519.5	2260.2	4519.5	0.99942	2.5524e+06	90602	7.5061	1	3.0447e-14	6.0894e-14	1.9555e-11	True
HGLibA_20146	GJA4	4218.5	7423.4	4218.5	7423.4	0.81521	5.1357e+06	1.8255e+05	7.5012	1	3.1627e-14	6.3253e-14	1.9898e-11	True
brunello_LDHAL6B_2	LDHAL6B	5522.7	9211.5	5522.7	9211.5	0.73797	6.8037e+06	2.4702e+05	7.4221	1	5.7651e-14	1.153e-13	3.5545e-11	True
brunello_CTTNBP2NL_2	CTTNBP2NL	1906	3933.3	1906	3933.3	1.0448	2.055e+06	74827	7.4112	1	6.2595e-14	1.2519e-13	3.7112e-11	True
HGLibB_11866	CXCL9	4541.1	7841.2	4541.1	7841.2	0.78792	5.4456e+06	1.9829e+05	7.4112	1	6.26e-14	1.252e-13	3.7112e-11	True
brunello_CTSL_4	CTSL	4786.7	1400.7	4786.7	1400.7	-1.7722	5.7326e+06	2.1037e+05	7.3823	7.7764e-14	1	1.5553e-13	4.5232e-11	False
brunello_PLEKHA4_2	PLEKHA4	2006.6	4079.3	2006.6	4079.3	1.0232	2.1481e+06	79275	7.3616	1	9.087e-14	1.8174e-13	5.1877e-11	True
brunello_ABCB1_2	ABCB1	3716.3	6632.2	3716.3	6632.2	0.83545	4.2513e+06	1.5834e+05	7.328	1	1.1677e-13	2.3353e-13	6.4823e-11	True
HGLibA_51731	42982	3282.2	6001.4	3282.2	6001.4	0.87042	3.6969e+06	1.3773e+05	7.3269	1	1.1775e-13	2.3551e-13	6.4823e-11	True
brunello_MARCKS_1	MARCKS	2587.7	4962.8	2587.7	4962.8	0.93921	2.8205e+06	1.0547e+05	7.3134	1	1.3023e-13	2.6045e-13	7.0432e-11	True
HGLibA_31872	IRF2BPL	3532.8	6356.4	3532.8	6356.4	0.8472	3.9862e+06	1.4959e+05	7.3005	1	1.4339e-13	2.8678e-13	7.6214e-11	True
HGLibB_23682	ITGA1	1905	3894.8	1905	3894.8	1.0313	1.9795e+06	74784	7.276	1	1.7194e-13	3.4388e-13	8.984e-11	True
HGLibB_22786	IGFBP2	8171.5	12663	8171.5	12663	0.63188	1.0087e+07	3.8352e+05	7.2527	1	2.0434e-13	4.0867e-13	1.0499e-10	True
brunello_DEFB1_4	DEFB1	5280	8777.4	5280	8777.4	0.73315	6.116e+06	2.3486e+05	7.2167	1	2.6626e-13	5.3253e-13	1.3456e-10	True
HGLibB_07294	CASP12	7379.3	11598	7379.3	11598	0.65225	8.8987e+06	3.4202e+05	7.2136	1	2.7249e-13	5.4498e-13	1.3549e-10	True
brunello_ACSL1_2	ACSL1	2005.6	4034.7	2005.6	4034.7	1.008	2.0586e+06	79232	7.2086	1	2.827e-13	5.654e-13	1.3833e-10	True
brunello_SEPT3_2	42981	5239.5	8716.5	5239.5	8716.5	0.73421	6.0448e+06	2.3284e+05	7.2057	1	2.8881e-13	5.7763e-13	1.3912e-10	True
HGLibA_08305	CD244	562.33	1551.8	562.33	1551.8	1.4628	4.8954e+05	19018	7.175	1	3.6155e-13	7.231e-13	1.7148e-10	True
brunello_TNFSF18_3	TNFSF18	2924.1	5400.9	2924.1	5400.9	0.88498	3.0673e+06	1.2098e+05	7.1211	1	5.3544e-13	1.0709e-12	2.501e-10	True
HGLibA_55673	STAT2	2972.5	5466.9	2972.5	5466.9	0.87883	3.111e+06	1.2322e+05	7.1059	1	5.9754e-13	1.1951e-12	2.7494e-10	True
brunello_SEMA3B_3	SEMA3B	3534.8	6273.2	3534.8	6273.2	0.8274	3.7494e+06	1.4968e+05	7.0781	1	7.307e-13	1.4614e-12	3.3127e-10	True
brunello_FILIP1L_3	FILIP1L	2536.4	4805.6	2536.4	4805.6	0.92165	2.5745e+06	1.0312e+05	7.0663	1	7.9586e-13	1.5917e-12	3.5558e-10	True
brunello_ENPP1_3	ENPP1	1397.9	3019.4	1397.9	3019.4	1.1104	1.3147e+06	52839	7.0542	1	8.6823e-13	1.7365e-12	3.8237e-10	True
brunello_VGLL2_4	VGLL2	2860	5278.2	2860	5278.2	0.88381	2.9239e+06	1.18e+05	7.0397	1	9.6351e-13	1.927e-12	4.1836e-10	True
HGLibB_44270	SLAMF9	2458.5	4678.8	2458.5	4678.8	0.92809	2.4649e+06	99572	7.0363	1	9.869e-13	1.9738e-12	4.2256e-10	True
HGLibA_19742	GBP6	7462.2	3329.8	7462.2	3329.8	-1.1639	8.5384e+06	3.4634e+05	7.0218	1.0948e-12	1	2.1895e-12	4.6232e-10	False
HGLibB_41569	RNF213	610.67	1619.8	610.67	1619.8	1.4059	5.0914e+05	20862	6.9864	1	1.4098e-12	2.8196e-12	5.8731e-10	True
brunello_ISG15_3	ISG15	4558.8	1444.3	4558.8	1444.3	-1.6576	4.8501e+06	1.9916e+05	6.9789	1.4874e-12	1	2.9748e-12	6.1139e-10	False
brunello_FAM134B_4	FAM134B	3834.7	6652.5	3834.7	6652.5	0.79463	3.9701e+06	1.6401e+05	6.9579	1	1.7263e-12	3.4527e-12	7.0025e-10	True
brunello_COMMD3_4	COMMD3	7319.2	3277.1	7319.2	3277.1	-1.159	8.1693e+06	3.3889e+05	6.9434	1.9133e-12	1	3.8266e-12	7.6601e-10	False
brunello_PKLR_2	PKLR	1075.3	2446.4	1075.3	2446.4	1.1851	9.399e+05	39363	6.9106	1	2.4133e-12	4.8266e-12	9.538e-10	True
HGLibA_20096	GIN1	2929	5334	2929	5334	0.86456	2.8919e+06	1.212e+05	6.9079	1	2.4595e-12	4.9191e-12	9.5978e-10	True
HGLibA_55669	STAT1	4884.4	8079.6	4884.4	8079.6	0.72599	5.1047e+06	2.152e+05	6.8878	1	2.8332e-12	5.6664e-12	1.091e-09	True
brunello_IGF2BP3_2	IGF2BP3	1992.8	3924.2	1992.8	3924.2	0.97722	1.8651e+06	78663	6.8861	1	2.8666e-12	5.7332e-12	1.091e-09	True
brunello_HIST1H1D_2	HIST1H1D	6020.9	9604	6020.9	9604	0.67358	6.4195e+06	2.7217e+05	6.8682	1	3.251e-12	6.5021e-12	1.2222e-09	True
HGLibA_55464	SSTR2	727.08	1820.6	727.08	1820.6	1.323	5.9788e+05	25373	6.8649	1	3.3264e-12	6.6528e-12	1.2355e-09	True
brunello_DNASE1L2_3	DNASE1L2	7184	11129	7184	11129	0.63145	7.7833e+06	3.3187e+05	6.8487	1	3.7254e-12	7.4508e-12	1.3672e-09	True
HGLibA_62631	WNT1	2148.7	4151.4	2148.7	4151.4	0.9498	2.0053e+06	85602	6.8449	1	3.826e-12	7.6521e-12	1.3876e-09	True
brunello_PARS2_2	PARS2	4792.6	7931.5	4792.6	7931.5	0.72666	4.9263e+06	2.1067e+05	6.8388	1	3.9938e-12	7.9875e-12	1.4316e-09	True
brunello_IL7R_4	IL7R	3179.6	5660.6	3179.6	5660.6	0.83189	3.0776e+06	1.329e+05	6.8053	1	5.0408e-12	1.0082e-11	1.7862e-09	True
brunello_MLKL_1	MLKL	2202	4214.2	2202	4214.2	0.93617	2.0246e+06	87988	6.7839	1	5.8496e-12	1.1699e-11	2.0492e-09	True
HGLibA_33561	KLK9	4196.8	7085.6	4196.8	7085.6	0.75548	4.1727e+06	1.8149e+05	6.7811	1	5.9648e-12	1.193e-11	2.0661e-09	True
HGLibB_45415	SLCO4A1	5908.4	9378.9	5908.4	9378.9	0.66655	6.022e+06	2.6647e+05	6.723	1	8.9034e-12	1.7807e-11	3.0497e-09	True
brunello_WHAMM_1	WHAMM	2907.3	5232.6	2907.3	5232.6	0.8476	2.7033e+06	1.202e+05	6.7068	1	9.9442e-12	1.9888e-11	3.3688e-09	True
brunello_DKK3_3	DKK3	4875.5	7979.2	4875.5	7979.2	0.71058	4.8164e+06	2.1476e+05	6.6973	1	1.0614e-11	2.1228e-11	3.5566e-09	True
brunello_ABCG2_4	ABCG2	3313.8	5802.6	3313.8	5802.6	0.80802	3.097e+06	1.3922e+05	6.6702	1	1.2768e-11	2.5537e-11	4.2325e-09	True
HGLibA_33559	KLK8	4788.7	7844.3	4788.7	7844.3	0.71189	4.6683e+06	2.1047e+05	6.6604	1	1.3654e-11	2.7307e-11	4.4778e-09	True
brunello_GGT5_3	GGT5	1280.5	2735.5	1280.5	2735.5	1.0944	1.0584e+06	47885	6.6488	1	1.478e-11	2.9559e-11	4.7801e-09	True
brunello_PVRIG_1	PVRIG	2910.3	5216.3	2910.3	5216.3	0.84165	2.6589e+06	1.2033e+05	6.6477	1	1.4886e-11	2.9771e-11	4.7801e-09	True
brunello_IFI6_2	IFI6	1838.9	3614.8	1838.9	3614.8	0.97468	1.5769e+06	71878	6.624	1	1.7478e-11	3.4955e-11	5.5546e-09	True
brunello_N4BP1_1	N4BP1	1406.8	2930.2	1406.8	2930.2	1.058	1.1603e+06	53216	6.6037	1	2.0045e-11	4.0091e-11	6.3057e-09	True
HGLibA_30904	IFI6	4437.5	7333.1	4437.5	7333.1	0.72456	4.1923e+06	1.9322e+05	6.5874	1	2.2375e-11	4.475e-11	6.9674e-09	True
HGLibB_26274	LEPR	2897.5	5174.7	2897.5	5174.7	0.83647	2.593e+06	1.1974e+05	6.5811	1	2.3351e-11	4.6703e-11	7.1987e-09	True
HGLibA_60379	TTC26	4865.6	7910.2	4865.6	7910.2	0.70097	4.6347e+06	2.1427e+05	6.5773	1	2.3961e-11	4.7922e-11	7.2618e-09	True
brunello_TMEM194A_3	TMEM194A	2442.7	4510.4	2442.7	4510.4	0.88452	2.1377e+06	98854	6.5765	1	2.4081e-11	4.8162e-11	7.2618e-09	True
brunello_IRF9_1	IRF9	5129	8264.2	5129	8264.2	0.68808	4.9146e+06	2.2734e+05	6.5754	1	2.4262e-11	4.8525e-11	7.2618e-09	True
HGLibB_30477	MUC1	974.7	2206	974.7	2206	1.1776	7.5806e+05	35253	6.5579	1	2.7283e-11	5.4565e-11	8.0872e-09	True
brunello_NAMPT_3	NAMPT	1241.1	2648.2	1241.1	2648.2	1.0928	9.9005e+05	46232	6.5444	1	2.9864e-11	5.9729e-11	8.7682e-09	True
HGLibB_04206	BBS10	4695	7660.7	4695	7660.7	0.70624	4.3978e+06	2.0585e+05	6.5367	1	3.1453e-11	6.2906e-11	9.1475e-09	True
HGLibA_59821	TRIM5	3562.4	6099.8	3562.4	6099.8	0.77573	3.2191e+06	1.5099e+05	6.5298	1	3.2925e-11	6.5851e-11	9.4862e-09	True
HGLibA_49476	RHOF	5361.9	8549.2	5361.9	8549.2	0.67295	5.0795e+06	2.3896e+05	6.5203	1	3.5084e-11	7.0168e-11	9.9871e-09	True
HGLibB_16684	FAM72A	797.13	1890.6	797.13	1890.6	1.2449	5.9782e+05	28132	6.5193	1	3.5312e-11	7.0624e-11	9.9871e-09	True
brunello_MRC2_2	MRC2	3322.7	5757.9	3322.7	5757.9	0.79302	2.9653e+06	1.3963e+05	6.517	1	3.5852e-11	7.1704e-11	1.0048e-08	True
brunello_P2RX7_4	P2RX7	2362.8	4373.5	2362.8	4373.5	0.88802	2.0215e+06	95232	6.5157	1	3.6182e-11	7.2363e-11	1.0049e-08	True
brunello_LPPR4_3	LPPR4	5227.7	8363.6	5227.7	8363.6	0.67784	4.9169e+06	2.3225e+05	6.507	1	3.8337e-11	7.6675e-11	1.0552e-08	True
HGLibA_03424	ATCAY	6675.9	10270	6675.9	10270	0.62137	6.46e+06	3.0564e+05	6.5017	1	3.97e-11	7.9399e-11	1.0831e-08	True
brunello_TRIM38_3	TRIM38	1904	3670.6	1904	3670.6	0.9466	1.5604e+06	74740	6.4618	1	5.1728e-11	1.0346e-10	1.3868e-08	True
HGLibA_39121	MYO1E	2579.8	4674.7	2579.8	4674.7	0.85736	2.1943e+06	1.051e+05	6.4618	1	5.1731e-11	1.0346e-10	1.3868e-08	True
brunello_GRHL1_3	GRHL1	4509.5	7368.6	4509.5	7368.6	0.7083	4.0872e+06	1.9674e+05	6.4458	1	5.7482e-11	1.1496e-10	1.5276e-08	True
HGLibB_23568	IRF8	3814	6412.1	3814	6412.1	0.74936	3.3752e+06	1.6301e+05	6.4351	1	6.1702e-11	1.234e-10	1.6135e-08	True
HGLibB_20277	GRIN2C	2799.8	4984.1	2799.8	4984.1	0.83177	2.3855e+06	1.1522e+05	6.4349	1	6.1758e-11	1.2352e-10	1.6135e-08	True
brunello_APOBEC3G_1	APOBEC3G	3977.7	6629.2	3977.7	6629.2	0.73674	3.5151e+06	1.7089e+05	6.4139	1	7.0924e-11	1.4185e-10	1.8374e-08	True
brunello_DUSP16_4	DUSP16	2888.6	5103.8	2888.6	5103.8	0.82097	2.4534e+06	1.1933e+05	6.4126	1	7.1527e-11	1.4305e-10	1.8375e-08	True
HGLibA_07532	CCDC109B	5307.6	2195.9	5307.6	2195.9	-1.2729	4.8414e+06	2.3624e+05	6.4021	7.6622e-11	1	1.5324e-10	1.9521e-08	False
HGLibA_05043	C10orf12	6096.8	2736.5	6096.8	2736.5	-1.1555	5.646e+06	2.7603e+05	6.396	7.9753e-11	1	1.5951e-10	2.0153e-08	False
HGLibA_50187	RPL22	3956	6578.5	3956	6578.5	0.73355	3.4386e+06	1.6985e+05	6.3632	1	9.8774e-11	1.9755e-10	2.4756e-08	True
HGLibB_44992	SLC37A2	9577.4	13884	9577.4	13884	0.5357	9.2744e+06	4.5836e+05	6.3614	1	9.9932e-11	1.9986e-10	2.4844e-08	True
brunello_HLA-A_1	HLA-A	5846.3	9099.9	5846.3	9099.9	0.63825	5.2932e+06	2.6333e+05	6.3406	1	1.1446e-10	2.2892e-10	2.8229e-08	True
brunello_MED12_2	MED12	3916.6	1320.6	3916.6	1320.6	-1.5677	3.3696e+06	1.6795e+05	6.3346	1.1894e-10	1	2.3789e-10	2.9102e-08	False
brunello_UGT1A6_1	UGT1A6	1562.7	3110.7	1562.7	3110.7	0.99277	1.1982e+06	59876	6.3264	1	1.2547e-10	2.5094e-10	3.0457e-08	True
HGLibA_39115	MYO1C	5069.8	8065.4	5069.8	8065.4	0.6697	4.4866e+06	2.2439e+05	6.3237	1	1.2771e-10	2.5541e-10	3.0757e-08	True
HGLibB_14152	DUSP28	3017.8	5247.8	3017.8	5247.8	0.79799	2.4863e+06	1.2534e+05	6.2988	1	1.5002e-10	3.0004e-10	3.5646e-08	True
HGLibA_31824	IQGAP2	1450.2	2928.2	1450.2	2928.2	1.0132	1.0922e+06	55062	6.2985	1	1.5032e-10	3.0063e-10	3.5646e-08	True
brunello_G6PC_1	G6PC	1387.1	2824.7	1387.1	2824.7	1.0255	1.0334e+06	52379	6.2816	1	1.6755e-10	3.351e-10	3.9429e-08	True
brunello_RHOB_4	RHOB	1629.8	3202	1629.8	3202	0.97388	1.236e+06	62769	6.2755	1	1.7424e-10	3.4849e-10	4.0437e-08	True
brunello_RIN2_2	RIN2	3526.9	5951.7	3526.9	5951.7	0.75473	2.9398e+06	1.493e+05	6.2753	1	1.7446e-10	3.4891e-10	4.0437e-08	True
sgKIAA0040_8	KIAA0040	4131.6	6770.2	4131.6	6770.2	0.71234	3.4809e+06	1.7833e+05	6.2481	1	2.0777e-10	4.1554e-10	4.7799e-08	True
brunello_FAM46C_1	FAM46C	4419.7	1680.6	4419.7	1680.6	-1.3944	3.7513e+06	1.9235e+05	6.2454	2.114e-10	1	4.228e-10	4.8275e-08	False
brunello_SPP1_1	SPP1	3196.4	5479	3196.4	5479	0.77728	2.6052e+06	1.3369e+05	6.2429	1	2.1482e-10	4.2963e-10	4.8694e-08	True
HGLibA_33560	KLK9	4294.4	6987.2	4294.4	6987.2	0.70213	3.6256e+06	1.8624e+05	6.2398	1	2.1912e-10	4.3823e-10	4.9306e-08	True
HGLibA_19908	GEM	1779.7	3418.1	1779.7	3418.1	0.94113	1.3421e+06	69286	6.2241	1	2.4213e-10	4.8427e-10	5.4091e-08	True
HGLibA_12617	DDIT4	3279.3	5586.5	3279.3	5586.5	0.7684	2.6617e+06	1.3759e+05	6.2202	1	2.4819e-10	4.9637e-10	5.5044e-08	True
brunello_USP37_2	USP37	460.72	1225.2	460.72	1225.2	1.4091	2.9224e+05	15208	6.1994	1	2.8351e-10	5.6701e-10	6.2428e-08	True
HGLibA_42980	OSM	8814.8	12804	8814.8	12804	0.53855	7.957e+06	4.1758e+05	6.1734	1	3.3427e-10	6.6855e-10	7.3085e-08	True
brunello_ATP6V0A1_4	ATP6V0A1	5579.9	8660.8	5579.9	8660.8	0.63416	4.7459e+06	2.4989e+05	6.1631	1	3.5676e-10	7.1352e-10	7.7452e-08	True
brunello_ZNF541_4	ZNF541	1984.9	3708.1	1984.9	3708.1	0.90127	1.4847e+06	78314	6.1577	1	3.6906e-10	7.3811e-10	7.9561e-08	True
HGLibA_35460	LRIF1	5203	8160.7	5203	8160.7	0.64925	4.374e+06	2.3102e+05	6.1536	1	3.7882e-10	7.5764e-10	8.1099e-08	True
HGLibB_30759	MYO10	5526.6	8574.5	5526.6	8574.5	0.63357	4.6449e+06	2.4722e+05	6.1301	1	4.3913e-10	8.7826e-10	9.3337e-08	True
HGLibA_15649	EGR1	1679.1	3240.6	1679.1	3240.6	0.94814	1.2191e+06	64905	6.129	1	4.4204e-10	8.8408e-10	9.3337e-08	True
brunello_SUCNR1_3	SUCNR1	2534.4	4500.3	2534.4	4500.3	0.8281	1.9323e+06	1.0303e+05	6.1244	1	4.5519e-10	9.1038e-10	9.546e-08	True
HGLibA_08144	CCR1	8767.4	12712	8767.4	12712	0.53588	7.7787e+06	4.1506e+05	6.1223	1	4.6118e-10	9.2236e-10	9.6063e-08	True
brunello_ZC3HAV1L_4	ZC3HAV1L	4422.7	7107.9	4422.7	7107.9	0.68439	3.6053e+06	1.925e+05	6.1203	1	4.6694e-10	9.3388e-10	9.661e-08	True
FHCRC_O_E_P_46	KIR2DL5A	7853.9	11560	7853.9	11560	0.55755	6.8659e+06	3.6682e+05	6.1184	1	4.7257e-10	9.4514e-10	9.7123e-08	True
HGLibB_46043	SNX5	7013.3	10488	7013.3	10488	0.58056	6.0382e+06	3.2303e+05	6.1143	1	4.8499e-10	9.6998e-10	9.8682e-08	True
HGLibA_21196	GRAMD1B	3584.1	5967.9	3584.1	5967.9	0.73545	2.8412e+06	1.5203e+05	6.1138	1	4.8656e-10	9.7312e-10	9.8682e-08	True
HGLibA_07785	CCDC42B	236.77	755.62	236.77	755.62	1.67	1.346e+05	7207.8	6.1114	1	4.9505e-10	9.9009e-10	9.9747e-08	True
brunello_SKIL_4	SKIL	3619.6	6013.5	3619.6	6013.5	0.73221	2.8654e+06	1.5372e+05	6.1058	1	5.1131e-10	1.0226e-09	1.0235e-07	True
brunello_SAMSN1_4	SAMSN1	1566.6	3060	1566.6	3060	0.96543	1.1151e+06	60046	6.0944	1	5.4926e-10	1.0985e-09	1.0897e-07	True
brunello_CCDC181_4	CCDC181	4850.8	7666.8	4850.8	7666.8	0.66028	3.9648e+06	2.1354e+05	6.0938	1	5.5144e-10	1.1029e-09	1.0897e-07	True
brunello_ZNF829_4	ZNF829	2958.6	5091.6	2958.6	5091.6	0.78297	2.2747e+06	1.2258e+05	6.0921	1	5.5713e-10	1.1143e-09	1.094e-07	True
brunello_GTF2E1_4	GTF2E1	2814.6	4883.7	2814.6	4883.7	0.79481	2.1405e+06	1.159e+05	6.0775	1	6.1026e-10	1.2205e-09	1.1907e-07	True
brunello_AGT_4	AGT	6019.9	9188.2	6019.9	9188.2	0.60996	5.019e+06	2.7212e+05	6.0735	1	6.2558e-10	1.2512e-09	1.2109e-07	True
